line_name,eic_code,tso,substation_1,substation_2,voltage_kv
Altdöbern - Streumen 563,11T0-0000-0949-E,50HERTZ,Altdöbern,Streumen,380.0
Altenfeld - Remptendorf 463,11TD8L463------C,50HERTZ,Altenfeld,Remptendorf,380.0
Altenfeld - Remptendorf 464,11TD8L464------4,50HERTZ,Altenfeld,Remptendorf,380.0
Altentreptow/Nord - Altentreptow/Süd 477,11T0-0000-0008-4,50HERTZ,Altentreptow/Nord,Altentreptow/Süd,380.0
Altentreptow/Süd - Gransee 479,11T0-0000-0009-1,50HERTZ,Altentreptow/Süd,Gransee,380.0
Altentreptow/Süd - Malchow 518,11T0-0000-0010-O,50HERTZ,Altentreptow/Süd,Malchow,380.0
Bärwalde - Schmölln 551,11TD8L551------R,50HERTZ,Bärwalde,Schmölln,380.0
Bärwalde - Schmölln 552,11TD8L552------J,50HERTZ,Bärwalde,Schmölln,380.0
Bärwalde - Streumen 557,11TD8L557------G,50HERTZ,Bärwalde,Streumen,380.0
Bärwalde - Streumen 558,11TD8L558------8,50HERTZ,Bärwalde,Streumen,380.0
Bentwisch - Güstrow 275,11TD8L275------7,50HERTZ,Bentwisch,Güstrow,220.0
Bentwisch - Güstrow 543,11TD8L543------K,50HERTZ,Bentwisch,Güstrow,380.0
Bentwisch - Güstrow 544,11TD8L544------C,50HERTZ,Bentwisch,Güstrow,380.0
Bertikow - Vierraden 481,11T0-0000-0109-X,50HERTZ,Bertikow,Vierraden,380.0
Bertikow - Vierraden 482,11T0-0000-2030-4,50HERTZ,Bertikow,Vierraden,380.0
Charlottenburg - Mitte 906,11TD8L906------T,50HERTZ,Charlottenburg,Mitte,380.0
Dresden/Süd - Freiberg/Nord 592,11TD8L592------K,50HERTZ,Dresden/Süd,Freiberg/Nord,380.0
Dresden/Süd - Röhrsdorf 591,11TD8L591------S,50HERTZ,Dresden/Süd,Röhrsdorf,380.0
Eisenach - Vieselbach 454,11TD8L454------D,50HERTZ,Eisenach,Vieselbach,380.0
Eisenhüttenstadt (Abzweig) - Eisenhüttenstadt 547-3,11TD8L547------P,50HERTZ,Eisenhüttenstadt (Abzweig),Eisenhüttenstadt,380.0
Eisenhüttenstadt (Abzweig) - Eisenhüttenstadt 548-3,11T0000000000023,50HERTZ,Eisenhüttenstadt (Abzweig),Eisenhüttenstadt,380.0
Eisenhüttenstadt (Abzweig) - Heinersdorf 548-4,11T0000000000023,50HERTZ,Eisenhüttenstadt (Abzweig),Heinersdorf,380.0
Eisenhüttenstadt (Abzweig) - Neuenhagen 547-1,11TD8L547------P,50HERTZ,Eisenhüttenstadt (Abzweig),Neuenhagen,380.0
Eisenhüttenstadt (Abzweig) - Preilack 547-2,11TD8L547------P,50HERTZ,Eisenhüttenstadt (Abzweig),Preilack,380.0
Eisenhüttenstadt (Abzweig) - Preilack 548-2,11T0000000000023,50HERTZ,Eisenhüttenstadt (Abzweig),Preilack,380.0
Eula - Pulgar 587,11TD8L587------Q,50HERTZ,Eula,Pulgar,380.0
Eula - Pulgar 588,11TD8L588------I,50HERTZ,Eula,Pulgar,380.0
Eula - Röhrsdorf 203,11TD8L203------C,50HERTZ,Eula,Röhrsdorf,220.0
Eula - Weida 208,11TD8L208------9,50HERTZ,Eula,Weida,220.0
Eula - Wolkramshausen 357,11TD8L357-----0Y,50HERTZ,Eula,Wolkramshausen,220.0
Eula - Wolkramshausen 358,11TD8L358------S,50HERTZ,Eula,Wolkramshausen,220.0
Förderstedt - Jessen/Nord 533,11T0-0000-0042-6,50HERTZ,Förderstedt,Jessen/Nord,380.0
Freiberg/Nord - Röhrsdorf 594,11TD8L594------4,50HERTZ,Freiberg/Nord,Röhrsdorf,380.0
Friedrichshain - Marzahn 921,11TD8L921------E,50HERTZ,Friedrichshain,Marzahn,380.0
Friedrichshain - Marzahn 922,11TD8L922------6,50HERTZ,Friedrichshain,Marzahn,380.0
Friedrichshain - Mitte 919,11TD8L919------X,50HERTZ,Friedrichshain,Mitte,380.0
Friedrichshain - Mitte 920,11TD8L920------M,50HERTZ,Friedrichshain,Mitte,380.0
Görries - Güstrow 423,11TD8L423------B,50HERTZ,Görries,Güstrow,380.0
Gransee - Neuenhagen 517,11TD8L517-----1B,50HERTZ,Gransee,Neuenhagen,380.0
Graustein - Bärwalde 565,11TD8L565------N,50HERTZ,Graustein,Bärwalde,380.0
Graustein - Bärwalde 566,11TD8L566------F,50HERTZ,Graustein,Bärwalde,380.0
Graustein - Preilack 541,11TD8L541-----0Y,50HERTZ,Graustein,Preilack,380.0
Graustein - Preilack 542,11TD8L542------S,50HERTZ,Graustein,Preilack,380.0
Güstrow - Putlitz/Süd 514,11TD8L514-----1Z,50HERTZ,Güstrow,Putlitz/Süd,380.0
Hagenwerder - Schmölln 553,11TD8L553------B,50HERTZ,Hagenwerder,Schmölln,380.0
Hagenwerder - Schmölln 554,11TD8L554------3,50HERTZ,Hagenwerder,Schmölln,380.0
Hamburg/Nord - Brunsbüttel 951,11TD8L951------O,50HERTZ,Hamburg/Nord,Brunsbüttel,380.0
Hamburg/Nord - Brunsbüttel 952,11TD8L952------G,50HERTZ,Hamburg/Nord,Brunsbüttel,380.0
Hamburg/Ost - Hamburg/Nord 961,11TD8L961------F,50HERTZ,Hamburg/Ost,Hamburg/Nord,380.0
Hamburg/Ost - Hamburg/Nord 962,11TD8L962------7,50HERTZ,Hamburg/Ost,Hamburg/Nord,380.0
Hamburg/Ost - Krümmel 991,11TD8L991------P,50HERTZ,Hamburg/Ost,Krümmel,380.0
Hamburg/Ost - Krümmel 992,11TD8L992------H,50HERTZ,Hamburg/Ost,Krümmel,380.0
Hamburg/Süd - Hamburg/Ost 971,11TD8L971------6,50HERTZ,Hamburg/Süd,Hamburg/Ost,380.0
Hamburg/Süd - Hamburg/Ost 972,11TD8L972------Z,50HERTZ,Hamburg/Süd,Hamburg/Ost,380.0
Heinersdorf - Neuenhagen 444,11T0000000000015,50HERTZ,Heinersdorf,Neuenhagen,380.0
Hennigsdorf - Wustermark 295,11TD8L295------Q,50HERTZ,Hennigsdorf,Wustermark,220.0
Jessen/Nord - Lauchstädt 499,11TD8L499------B,50HERTZ,Jessen/Nord,Lauchstädt,380.0
Jessen/Nord - Marke 500,11TD8L500------6,50HERTZ,Jessen/Nord,Marke,380.0
Klostermansfeld - Lauchstädt 538,11TD8L538------Q,50HERTZ,Klostermansfeld,Lauchstädt,380.0
Klostermansfeld - Wolmirstedt 535,11T0-0000-2052-R,50HERTZ,Klostermansfeld,Wolmirstedt,380.0
Krümmel - Görries 419,11TD8L419------9,50HERTZ,Krümmel,Görries,380.0
Krümmel - Wessin 420,11TD8L420------Z,50HERTZ,Krümmel,Wessin,380.0
Lauchstädt - Klostermansfeld 537,11T0-0000-2053-O,50HERTZ,Lauchstädt,Klostermansfeld,380.0
Lauchstädt - Vieselbach 471,11TD8L471------J,50HERTZ,Lauchstädt,Vieselbach,380.0
