substation_name,tso
Alfstedt,TENNETGMBH
Algermissen,TENNETGMBH
Altbach,TRANSNETBW
Altdöbern,50HERTZ
Altenfeld,50HERTZ
Altenkleusheim,AMPRION GMBH
Altentreptow/Nord,50HERTZ
Altentreptow/Süd,50HERTZ
Altheim,TENNETGMBH
Altlussheim,TRANSNETBW
Amelsbueren,AMPRION GMBH
Arpe,AMPRION GMBH
Aschaffenburg,TENNETGMBH
Asslar,TENNETGMBH
Audorf,TENNETGMBH
Audorf/S,TENNETGMBH
BASF,AMPRION GMBH
Bacharach,AMPRION GMBH
Bandstahl,AMPRION GMBH
Bauler,AMPRION GMBH
Bayer,AMPRION GMBH
Bechterdissen,TENNETGMBH
Benteler,AMPRION GMBH
Bentwisch,50HERTZ
Bergmannsglueck,AMPRION GMBH
Bergrheinfeld/W,TENNETGMBH
Bergshausen,TENNETGMBH
Bertikow,50HERTZ
Beuren,TRANSNETBW
Beznau,AMPRION GMBH
Birkenfeld,TRANSNETBW
Bischofsheim,AMPRION GMBH
Bixterheide,AMPRION GMBH
Blockland,TENNETGMBH
Bochum,AMPRION GMBH
Bocklemuend,AMPRION GMBH
Bollenacker,AMPRION GMBH
Borken,TENNETGMBH
Braunschweig/N,TENNETGMBH
Brauweiler,AMPRION GMBH
Brokdorf,TENNETGMBH
Bruchsal/Kaendelweg,TRANSNETBW
Brunsbuettel,TENNETGMBH
Brunsbüttel,50HERTZ
Buehl,TRANSNETBW
Buenzwangen,TRANSNETBW
Buers,TRANSNETBW
Buerstadt,AMPRION GMBH
Buescherhof,AMPRION GMBH
Buettel,TENNETGMBH
Bärwalde,50HERTZ
Charlottenburg,50HERTZ
Cloppenburg/O,TENNETGMBH
Conneforde,TENNETGMBH
Conneforde/O,TENNETGMBH
DC Phillipsburg,TRANSNETBW
Datteln,AMPRION GMBH
Dauersberg,AMPRION GMBH
Daxlanden,AMPRION GMBH;TRANSNETBW
Dellmensingen,TRANSNETBW
Dettingen,AMPRION GMBH
Diefflen,AMPRION GMBH
Diele,TENNETGMBH
Dillenburg,TENNETGMBH
Dipperz,TENNETGMBH
Doernigheim,TENNETGMBH
Doerpen/W,TENNETGMBH
Dollern,TENNETGMBH
Dresden/Süd,50HERTZ
Duelken,AMPRION GMBH
Duennwald,AMPRION GMBH
Edelstahl,AMPRION GMBH
Eiberg,AMPRION GMBH
Eichstetten,TRANSNETBW
Eickum,TENNETGMBH
Eisenach,50HERTZ
Eisenhüttenstadt,50HERTZ
Eisenhüttenstadt (Abzweig),50HERTZ
Eiserfeld,AMPRION GMBH
Eller,AMPRION GMBH
Elmenhorst,AMPRION GMBH
Elsen,TENNETGMBH
Elsfleth/W,TENNETGMBH
Eltmann,TENNETGMBH
Emden/O,TENNETGMBH
Emscherbruch,AMPRION GMBH
Endersbach,TRANSNETBW
Engstlatt,TRANSNETBW
Enniger,AMPRION GMBH
Ensdorf,AMPRION GMBH
Erzhausen,TENNETGMBH
Etzenricht,TENNETGMBH
Eula,50HERTZ
FWH-S,AMPRION GMBH
Farge,TENNETGMBH
Fedderwarden,TENNETGMBH
Frankfurt/N,TENNETGMBH
Frankfurt/SW,TENNETGMBH
Freiberg/Nord,50HERTZ
Friedrichshain,50HERTZ
Fuehlingen,AMPRION GMBH
Förderstedt,50HERTZ
GKM,TRANSNETBW
GKMB,TRANSNETBW
GKN2,TRANSNETBW
Ganderkesee,TENNETGMBH
Garenfeld,AMPRION GMBH
Garrel/O,TENNETGMBH
Geithe,AMPRION GMBH
Gellep,AMPRION GMBH
Gelsenberg,AMPRION GMBH
