substation,tso,lat,lon,address,found
Alfstedt,TENNETGMBH,53.5499782,9.0666915,"Alfstedt, Samtgemeinde Geestequelle, Landkreis Rotenburg (Wümme), Niedersachsen, Deutschland",True
Algermissen,TENNETGMBH,52.2514068,9.9679044,"Algermissen, Landkreis Hildesheim, Niedersachsen, 31191, Deutschland",True
Altbach,TRANSNETBW,48.7244372,9.3807848,"Altbach, GVV Plochingen, Landkreis Esslingen, Baden-Württemberg, 73776, Deutschland",True
Altdöbern,50HERTZ,51.6511561,14.0342532,"Altdöbern, Oberspreewald-Lausitz - Górne Błota-Łužyca, Brandenburg, Deutschland",True
Altenfeld,50HERTZ,50.5644442,10.9609733,"Altenfeld, Großbreitenbach, Ilm-Kreis, Thüringen, Deutschland",True
Altenkleusheim,AMPRION GMBH,51.0069628,7.9239465,"Altenkleusheim, Olpe, Kreis Olpe, Nordrhein-Westfalen, Deutschland",True
Altentreptow/Nord,50HERTZ,53.7039417,13.2511258,"Altentreptow, Nord, Stralsunder Straße, Altentreptow, Treptower Tollensewinkel, Mecklenburgische Seenplatte, Mecklenburg-Vorpommern, 17087, Deutschland",True
Altentreptow/Süd,50HERTZ,53.6917161,13.2599679,"Altentreptow, Süd, L 35, Altentreptow, Treptower Tollensewinkel, Mecklenburgische Seenplatte, Mecklenburg-Vorpommern, 17087, Deutschland",True
Altheim,TENNETGMBH,48.5808015,10.0271338,"Altheim (Alb), GVV Langenau, Alb-Donau-Kreis, Baden-Württemberg, 89174, Deutschland",True
Altlussheim,TRANSNETBW,49.3004929,8.4981809,"Altlußheim, VVG der Stadt Hockenheim, Rhein-Neckar-Kreis, Baden-Württemberg, 68804, Deutschland",True
Amelsbueren,AMPRION GMBH,51.8833893,7.6059771,"Amelsbüren, Münster-Hiltrup, Münster, Nordrhein-Westfalen, 48163, Deutschland",True
Arpe,AMPRION GMBH,51.184725,8.2022643,"Arpe, Schmallenberg, Hochsauerlandkreis, Nordrhein-Westfalen, Deutschland",True
Aschaffenburg,TENNETGMBH,49.9706701,9.1384857,"Aschaffenburg, Bayern, Deutschland",True
Asslar,TENNETGMBH,50.609245,8.447572,"Aßlar, Lahn-Dill-Kreis, Hessen, 35614, Deutschland",True
Audorf,TENNETGMBH,54.3132409,9.7185312,"Schacht-Audorf, Eiderkanal, Kreis Rendsburg-Eckernförde, Schleswig-Holstein, 24790, Deutschland",True
Audorf/S,TENNETGMBH,54.3132409,9.7185312,"Schacht-Audorf, Eiderkanal, Kreis Rendsburg-Eckernförde, Schleswig-Holstein, 24790, Deutschland",True
BASF,AMPRION GMBH,49.5528125,8.3516349,"BASF, Frankenthal Kernstadt, Frankenthal (Pfalz), Rheinland-Pfalz, 67227, Deutschland",True
Bacharach,AMPRION GMBH,50.0597943,7.7683997,"Bacharach, Rhein-Nahe, Landkreis Mainz-Bingen, Rheinland-Pfalz, 55422, Deutschland",True
Bandstahl,AMPRION GMBH,51.3826075,7.5158846,"Bandstahl Service Hagen, Halden, Hohenlimburg, Hagen, Nordrhein-Westfalen, 58093, Deutschland",True
Bauler,AMPRION GMBH,49.9650754,6.2068809,"Bauler, Südeifel, Eifelkreis Bitburg-Prüm, Rheinland-Pfalz, Deutschland",True
Bayer,AMPRION GMBH,50.9431344,13.6228032,"Bayer, Dippoldiswalde, Sächsische Schweiz-Osterzgebirge, Sachsen, 01734, Deutschland",True
Bechterdissen,TENNETGMBH,52.0067768,8.6507044,"Bechterdissen, Stieghorst, Bielefeld, Nordrhein-Westfalen, 33699, Deutschland",True
Benteler,AMPRION GMBH,52.0274663,8.5462031,"Benteler, 10, Frachtstraße, Mitte, Bielefeld, Nordrhein-Westfalen, 33602, Deutschland",True
Bentwisch,50HERTZ,54.1162169,12.2022371,"Bentwisch, Rostocker Heide, Landkreis Rostock, Mecklenburg-Vorpommern, Deutschland",True
Bergmannsglueck,AMPRION GMBH,52.4677605,13.7729365,"Bergmannsglück, Rüdersdorf, Rüdersdorf bei Berlin, Märkisch-Oderland, Brandenburg, 15562, Deutschland",True
Bergrheinfeld/W,TENNETGMBH,50.0082136,10.1810033,"Bergrheinfeld, Landkreis Schweinfurt, Bayern, 97493, Deutschland",True
Bergshausen,TENNETGMBH,51.2684595,9.5007979,"Bergshausen, Fuldabrück, Landkreis Kassel, Hessen, Deutschland",True
Bertikow,50HERTZ,53.2448338,13.9396783,"Bertikow, Uckerfelde, Uckermark, Brandenburg, Deutschland",True
Beuren,TRANSNETBW,49.7272641,6.9163463,"Beuren (Hochwald), Hermeskeil, Landkreis Trier-Saarburg, Rheinland-Pfalz, Deutschland",True
Beznau,AMPRION GMBH,,,,False
Birkenfeld,TRANSNETBW,49.6488236,7.1647477,"Birkenfeld, Landkreis Birkenfeld, Rheinland-Pfalz, 55765, Deutschland",True
Bischofsheim,AMPRION GMBH,50.4011137,10.0075314,"Bischofsheim in der Rhön, Landkreis Rhön-Grabfeld, Bayern, Deutschland",True
Bixterheide,AMPRION GMBH,51.5000147,7.5128727,"Uhlmann-Bixterheide-Weg, Gartenstadt, Innenstadt Ost, Dortmund, Nordrhein-Westfalen, 44141, Deutschland",True
Blockland,TENNETGMBH,53.142216,8.800021,"Blockland, Bremen-West, Bremen, Deutschland",True
Bochum,AMPRION GMBH,51.4818111,7.2196635,"Bochum, Nordrhein-Westfalen, Deutschland",True
Bocklemuend,AMPRION GMBH,50.9736355,6.8657478,"Bocklemünd, Bocklemünd/Mengenich, Ehrenfeld, Köln, Nordrhein-Westfalen, 50829, Deutschland",True
Bollenacker,AMPRION GMBH,53.3679483,13.0627332,"Bollenacker, Zierke, Neustrelitz, Mecklenburgische Seenplatte, Mecklenburg-Vorpommern, 17235, Deutschland",True
Borken,TENNETGMBH,51.8444777,6.8583277,"Borken, Kreis Borken, Nordrhein-Westfalen, 46325, Deutschland",True
Braunschweig/N,TENNETGMBH,52.2646577,10.5236066,"Braunschweig, Niedersachsen, Deutschland",True
Brauweiler,AMPRION GMBH,49.824504,7.498589,"Brauweiler, Kirner Land, Landkreis Bad Kreuznach, Rheinland-Pfalz, Deutschland",True
Brokdorf,TENNETGMBH,53.8650137,9.3181239,"Brokdorf, Amt Wilstermarsch, Kreis Steinburg, Schleswig-Holstein, 25576, Deutschland",True
Bruchsal/Kaendelweg,TRANSNETBW,49.1326385,8.5572802,"Bruchsal Kändelweg, Industriestraße, West II, Bruchsal, VVG der Stadt Bruchsal, Landkreis Karlsruhe, Baden-Württemberg, 76646, Deutschland",True
Brunsbuettel,TENNETGMBH,53.8972549,9.1395423,"Brunsbüttel, Kreis Dithmarschen, Schleswig-Holstein, 25541, Deutschland",True
Brunsbüttel,50HERTZ,53.8972549,9.1395423,"Brunsbüttel, Kreis Dithmarschen, Schleswig-Holstein, 25541, Deutschland",True
Buehl,TRANSNETBW,48.6945066,8.134423,"Bühl, VVG der Stadt Bühl, Landkreis Rastatt, Baden-Württemberg, 77815, Deutschland",True
Buenzwangen,TRANSNETBW,48.7035701,9.551447,"Bünzwangen, Ebersbach an der Fils, VVG der Stadt Ebersbach an der Fils, Landkreis Göppingen, Baden-Württemberg, Deutschland",True
