name,x,y,CORE-TSO_country,CORE-TSO_tso,OSM_type,OSM_name,OSM_country,OSM_voltage,OSM_operator,OSM_alt_name,Comments,CORE-TSO-name,geometry,transformer_dupplicate,v_nom
38868243,12.739733378696268,47.27759548453195,AT,APG,Polygon,Umspannwerk Tauern,AT,380000;220000,Austrian Power Grid AG,,,"Tauern, TR Tauern TARHU41, TR Tauern TARHU42, PST Tauern TAPST",POINT (12.739733378696268 47.27759548453195),False,400.0
81540198,13.081870668673746,48.256519536727325,AT,APG,Polygon,Umspannwerk St. Peter,AT,380000,Austrian Power Grid AG,,,"St. Peter, St.Peter, TR St. Peter SPRHU41, TR St. Peter SPRHU42, TR St. Peter SPRHU43",POINT (13.081870668673746 48.256519536727325),False,400.0
765101679,16.431538173689475,48.13899311360726,AT,APG,Polygon,Umspannwerk Kledering,AT,220000,Austrian Power Grid AG,,,Kledering,POINT (16.431538173689475 48.13899311360726),False,220.0
210191809,13.4428542360307,48.43454641266245,AT,APG,Polygon,Umspannwerk Schärding,AT,220000,,,,Schaerding,POINT (13.4428542360307 48.43454641266245),False,220.0
162826525,12.805760955273785,46.82504401999443,AT,APG,Polygon,Lienz,AT,380000;220000;110000,Austrian Power Grid AG,,,"Lienz, TR Lienz LIRHU41, TR Lienz LIRHU42, PST Lienz LIPST",POINT (12.805760955273785 46.82504401999443),False,400.0
30042006,15.737359550000036,48.26874594999984,AT,APG,Polygon,Schaltwerk Etzersdorf,AT,380000,Austrian Power Grid AG,,,Etzersdorf,POINT (15.737359550000036 48.26874594999984),False,400.0
83742801,15.725629800308608,47.09103556760329,AT,APG,Polygon,Umspannwerk Oststeiermark/Wünschendorf,AT,380000;110000,Verbund Austrian Power Grid AG;STEWEAG-STEG,,,Oststeiermark,POINT (15.725629800308608 47.09103556760329),False,400.0
92873353,14.01960507170905,48.38520842909608,AT,APG,Polygon,Umspannwerk Aschach,AT,220000,,,,Aschach,POINT (14.01960507170905 48.38520842909608),False,220.0
83202471,16.064902773179767,47.70706778567004,AT,APG,Polygon,Umspannwerk Ternitz,AT,220000;110000;20000,Austrian Power Grid AG,,,"Ternitz, PST Ternitz TEPST",POINT (16.064902773179767 47.70706778567004),False,220.0
727225348,10.873845198722057,47.24424668126896,AT,APG,Polygon,APG Umspannwerk Westtirol,AT,380000;220000;110000,Austrian Power Grid AG,,,"Westtirol, TR Westtirol WTRHU41",POINT (10.873845198722057 47.24424668126896),False,400.0
82201785,16.838032688991206,47.960475624203056,AT,APG,Polygon,Umspannwerk Neusiedl,AT,220000;110000,Austrian Power Grid;Netz Burgenland,,,Neusiedl,POINT (16.838032688991206 47.960475624203056),False,220.0
86119428,14.027972807478916,46.56831819131434,AT,APG,Polygon,Kraftwerk Rosegg,AT,220000,Verbund Hydro Power GmbH,,,Rosegg,POINT (14.027972807478916 46.56831819131434),False,220.0
50650855,14.052111502980631,48.08325524594757,AT,APG,Polygon,Umspannwerk Sattledt,AT,220000,Austrian Grid Power AG,,,Sattledt,POINT (14.052111502980631 48.08325524594757),False,220.0
30076588,15.047811571324814,48.146700214408725,AT,APG,Polygon,Umspannwerk Ybbsfeld,AT,220000;110000,APG;Netz NÖ,,,Ybbsfeld,POINT (15.047811571324814 48.146700214408725),False,220.0
83740194,15.423167733646473,46.903637991022,AT,APG,Polygon,Umspannwerk Kainachtal/Zwaring,AT,380000;110000,Verbund Austrian Power Grid AG;STEWEAG-STEG,,,Kainachtal,POINT (15.423167733646473 46.903637991022),False,400.0
83831570,14.681460598338008,46.66845419378629,AT,APG,Polygon,Umspannwerk Obersielach,AT,380000;220000;110000,Austrian Power Grid AG,,,"Obersielach, TR Obersielach OSRHU41, TR Obersielach OSRHU43, TR Obersielach OSRHU42",POINT (14.681460598338008 46.66845419378629),False,400.0
27763479,14.47373529523377,48.1249269031903,AT,APG,Polygon,Umspannwerk Ernsthofen,AT,380000;220000;110000,Austrian Power Grid AG,,,"Ernsthofen, TR Ernsthofen EHRHU41, TR Ernsthofen EHRHU42, PST Ernsthofen EHPST",POINT (14.47373529523377 48.1249269031903),False,220.0
86119456,14.172961241105918,46.53584400041253,AT,APG,Polygon,Umspannwerk Feistritz,AT,220000,,,,Feistritz,POINT (14.172961241105918 46.53584400041253),False,220.0
171066516,16.994533021838087,47.93769817446625,AT,APG,Polygon,Umspannwerk Zurndorf,AT,380000;110000,Austrian Power Grid AG;Energie Burgenland AG,,,Zurndorf,POINT (16.994533021838087 47.93769817446625),False,400.0
88680218,15.020948147491378,47.397154752546,AT,APG,Polygon,Umspannwerk Hessenberg,AT,220000;110000,Verbund Austrian Power Grid AG,,,Hessenberg,POINT (15.020948147491378 47.397154752546),False,220.0
318616912,12.583373796106992,47.27851048556766,AT,APG,Polygon,Umspannwerk Schwarzenbach,AT,380000;110000,Austrian Power Grid AG;Österreichische Bundesbahnen,,,Schwarzenbach,POINT (12.583373796106992 47.27851048556766),False,400.0
88684218,14.726172707435378,47.18096601694428,AT,APG,Polygon,Umspannwerk Zeltweg,AT,220000,Austrian Power Grid AG,,,Zeltweg,POINT (14.726172707435378 47.18096601694428),False,220.0
27795895,16.420069271973972,48.12390360961506,AT,APG,Polygon,Umspannwerk Wien Südost,AT,380000;220000;110000,Austrian Power Grid AG,,,"Wien Suedost, Wien, TR Wien Suedost SORHU41, TR Wien Suedost SORHU43",POINT (16.420069271973972 48.12390360961506),False,400.0
235546807,14.469427174416154,48.116435310292346,AT,APG,Polygon,Schaltwerk Kronstorf,AT,380000,Austrian Power Grid AG,,,Kronstorf,POINT (14.469427174416154 48.116435310292346),False,400.0
28596524,11.850783184805572,47.16249227836731,AT,APG,Polygon,Schaltanlage Mayrhofen,AT,220000,,,,Mayrhofen,POINT (11.850783184805572 47.16249227836731),False,220.0
