,x,y,CORE-TSO_country,CORE-TSO_tso,OSM_id,OSM_type,OSM_name,OSM_country,OSM_voltage,OSM_operator,OSM_alt_name,Comments
Tauern,12.739733378696268,47.27759548453195,AT,APG,38868243.0,Polygon,Umspannwerk Tauern,AT,380000;220000,Austrian Power Grid AG,,
St. Peter,13.081870668673746,48.256519536727325,AT,APG,81540198.0,Polygon,Umspannwerk St. Peter,AT,380000,Austrian Power Grid AG,,
Kledering,16.431538173689475,48.13899311360726,AT,APG,765101679.0,Polygon,Umspannwerk Kledering,AT,220000,Austrian Power Grid AG,,
Schaerding,13.4428542360307,48.43454641266245,AT,APG,210191809.0,Polygon,Umspannwerk Schärding,AT,220000,,,
Lienz,12.805760955273785,46.82504401999443,AT,APG,162826525.0,Polygon,Lienz,AT,380000;220000;110000,Austrian Power Grid AG,,
Etzersdorf,15.737359550000036,48.26874594999984,AT,APG,30042006.0,Polygon,Schaltwerk Etzersdorf,AT,380000,Austrian Power Grid AG,,
Oststeiermark,15.725629800308608,47.09103556760329,AT,APG,83742801.0,Polygon,Umspannwerk Oststeiermark/Wünschendorf,AT,380000;110000,Verbund Austrian Power Grid AG;STEWEAG-STEG,,
Aschach,14.01960507170905,48.38520842909608,AT,APG,92873353.0,Polygon,Umspannwerk Aschach,AT,220000,,,
Ternitz,16.064902773179767,47.70706778567004,AT,APG,83202471.0,Polygon,Umspannwerk Ternitz,AT,220000;110000;20000,Austrian Power Grid AG,,
Westtirol,10.873845198722057,47.24424668126896,AT,APG,727225348.0,Polygon,APG Umspannwerk Westtirol,AT,380000;220000;110000,Austrian Power Grid AG,,
Neusiedl,16.838032688991206,47.960475624203056,AT,APG,82201785.0,Polygon,Umspannwerk Neusiedl,AT,220000;110000,Austrian Power Grid;Netz Burgenland,,
Rosegg,14.027972807478916,46.56831819131434,AT,APG,86119428.0,Polygon,Kraftwerk Rosegg,AT,220000,Verbund Hydro Power GmbH,,
Sattledt,14.052111502980631,48.08325524594757,AT,APG,50650855.0,Polygon,Umspannwerk Sattledt,AT,220000,Austrian Grid Power AG,,
Ybbsfeld,15.047811571324814,48.146700214408725,AT,APG,30076588.0,Polygon,Umspannwerk Ybbsfeld,AT,220000;110000,APG;Netz NÖ,,
Kainachtal,15.423167733646473,46.903637991022,AT,APG,83740194.0,Polygon,Umspannwerk Kainachtal/Zwaring,AT,380000;110000,Verbund Austrian Power Grid AG;STEWEAG-STEG,,
Obersielach,14.681460598338008,46.66845419378629,AT,APG,83831570.0,Polygon,Umspannwerk Obersielach,AT,380000;220000;110000,Austrian Power Grid AG,,
Ernsthofen,14.47373529523377,48.1249269031903,AT,APG,27763479.0,Polygon,Umspannwerk Ernsthofen,AT,380000;220000;110000,Austrian Power Grid AG,,
Feistritz,14.172961241105918,46.53584400041253,AT,APG,86119456.0,Polygon,Umspannwerk Feistritz,AT,220000,,,
Zurndorf,16.994533021838087,47.93769817446625,AT,APG,171066516.0,Polygon,Umspannwerk Zurndorf,AT,380000;110000,Austrian Power Grid AG;Energie Burgenland AG,,
Hessenberg,15.020948147491378,47.397154752546,AT,APG,88680218.0,Polygon,Umspannwerk Hessenberg,AT,220000;110000,Verbund Austrian Power Grid AG,,
Schwarzenbach,12.583373796106992,47.27851048556766,AT,APG,318616912.0,Polygon,Umspannwerk Schwarzenbach,AT,380000;110000,Austrian Power Grid AG;Österreichische Bundesbahnen,,
Zeltweg,14.726172707435378,47.18096601694428,AT,APG,88684218.0,Polygon,Umspannwerk Zeltweg,AT,220000,Austrian Power Grid AG,,
Wien Suedost,16.420069271973972,48.12390360961506,AT,APG,27795895.0,Polygon,Umspannwerk Wien Südost,AT,380000;220000;110000,Austrian Power Grid AG,,
Kronstorf,14.469427174416154,48.116435310292346,AT,APG,235546807.0,Polygon,Schaltwerk Kronstorf,AT,380000,Austrian Power Grid AG,,
Mayrhofen,11.850783184805572,47.16249227836731,AT,APG,28596524.0,Polygon,Schaltanlage Mayrhofen,AT,220000,,,
Greuth,13.679812286068168,46.54319159528688,AT,APG,180468540.0,Polygon,Umspannwerk Greuth,AT,220000,Eneco S.r.l.,,
Hausruck,13.899759088463831,48.10437543439577,AT,APG,93077882.0,Polygon,Umspannwerk Hausruck,AT,220000,Verbund Austrian Power Grid AG,,
Wallsee,14.695177155277756,48.16420697715911,AT,APG,95837658.0,Polygon,Umspannwerk Wallsee,AT,220000;110000,Austrian Power Grid AG,,
Klaus,14.163206843507028,47.8213913863045,AT,APG,152245073.0,Polygon,Umspannwerk Klaus,AT,220000,Austrian Power Grid AG,,
Suedburgenland,16.276301468018094,47.25075082813871,AT,APG,81684898.0,Polygon,Umspannwerk Südburgenland/Rotenturm,AT,380000;110000,Austrian Power Grid AG,,
Salzburg Elixhausen,13.066843061018709,47.8880497091321,AT,APG,105065132.0,Polygon,Umspannwerk Salzburg,AT,220000,Austrian Power Grid AG,,
Sarasdorf,16.695964727999243,48.0319429668924,AT,APG,107248400.0,Polygon,Umspannwerk Sarasdorf,AT,380000;110000,,,
Zell am Ziller,11.897843807702728,47.23344726452986,AT,APG,156973414.0,Polygon,Umspannwerk Zell am Ziller,AT,380000;220000;110000,Austrian Power Grid AG,,
