name,NE_name,r,x,b,length,Comment,geometry,bus0,bus1,EIC_Code,TSO,CORE-TSO_bus0,CORE-TSO_bus1,v_nom,Maximum Current Imax (A) Period 1,Maximum Current Imax (A) Period 2,Maximum Current Imax (A) Period 3,Maximum Current Imax (A) Period 4,Maximum Current Imax (A) Period 5,Maximum Current Imax (A) Period 6,Maximum Current Imax (A) Fixed,Dynamic line rating (DLR) DLRmin(A),Dynamic line rating (DLR) DLRmax(A),s_nom,tie_line
0,Eula - Röhrsdorf 203,4.0937,18.349,0.0001611637031291564,51.511,,"LINESTRING (12.517063548402785 51.156251437142096, 12.815082479900903 50.85868947954853)",32843531T,23117075T,11TD8L203------C,50HERTZ,Eula,Röhrsdorf,220,790.0,,,,,,,,,173.8,False
1,Röhrsdorf - Weida 207,7.5895,31.888,0.0003487167845484671,98.324,,"LINESTRING (12.815082479900903 50.85868947954853, 12.045507458183804 50.78094886931945)",23117075T,156673637T,11TD8L207------H,50HERTZ,Röhrsdorf,Weida,220,790.0,,,,,,,,,173.8,False
2,Eula - Weida 208,5.0537,19.541,0.0002642393580934375,67.55,,"LINESTRING (12.517063548402785 51.156251437142096, 12.045507458183804 50.78094886931945)",32843531T,156673637T,11TD8L208------9,50HERTZ,Eula,Weida,220,1070.0,,,,,,,,,235.4,False
3,Bentwisch - Güstrow 275,1.909,12.055,0.0001580849423286384,41.418,,"LINESTRING (12.213541114842796 54.111982000414535, 12.187783572738446 53.81650473574688)",32318130T,32062544T,11TD8L275------7,50HERTZ,Bentwisch,Güstrow,220,1200.0,,,,,,,,,264.0,False
4,Wuhlheide - Thyrow 291,2.9672,11.191,0.000266784,38.882,,"LINESTRING (13.506127335205774 52.47382560747208, 13.30634069585986 52.23082066092722)",22973052,29331499T,11TD8L291------L,50HERTZ,Wuhlheide,Thyrow,220,960.0,,,,,,,,,211.2,False
5,Hennigsdorf - Wustermark 295,0.548,6.85,0.0001291194580625405,27.4,,"LINESTRING (13.206292373440522 52.65719244777163, 12.942934968142938 52.56249764066212)",30309989,27149550T,11TD8L295------Q,50HERTZ,Hennigsdorf,Wustermark,220,1070.0,,,,,,,,,235.4,False
6,Marzahn - Wuhlheide 301,0.5487,2.4908,3.707079331235955e-05,9.111,,"LINESTRING (13.524113150563432 52.5357936785092, 13.506127335205774 52.47382560747208)",22973070T,22973052,11TD8L301------I,50HERTZ,Marzahn,Wuhlheide,220,1070.0,,,,,,,,,235.4,False
7,Marzahn - Wuhlheide(Abzweig) 302/1,0.545,2.4772,3.707079331235955e-05,9.111,,"LINESTRING (13.524113150563432 52.5357936785092, 13.506127335205774 52.47382560747208)",22973070T,22973052,11TD8L302------A,50HERTZ,Marzahn,Wuhlheide (Abzweig),220,960.0,,,,,,,,,211.2,False
8,Wuhlheide (Abzweig) - Thyrow 302/2,2.9672,11.191,0.0001531212259359665,38.882,,"LINESTRING (13.506127335205774 52.47382560747208, 13.30634069585986 52.23082066092722)",22973052,29331499T,11TD8L302------A,50HERTZ,Wuhlheide (Abzweig),Thyrow,220,960.0,,,,,,,,,211.2,False
9,Bertikow - Neuenhagen303,6.6733,25.638,0.00032116501697648455,86.064,,"LINESTRING (13.95682653407757 53.25237502729315, 13.710163845494778 52.539128262482336)",30039908,137197826T,11TD8L303------2,50HERTZ,Bertikow,Neuenhagen,220,1070.0,,,,,,,,,235.4,False
