name,Full Name,EIC_Code,TSO,Maximum Current Imax (A) primary Min,Maximum Current Imax (A) primary Max,Maximum Current Imax (A) primary Fixed,Voltage_level(kV) Primary,Voltage_level(kV) Secondary,r,x,b,g,Taps used for RAO,Theta θ (°),Symmetrical/Asymmetrical,Phase Regulation δu (%),Angle Regulation δu (%),Comment,geometry,bus0,s_nom,bus1
77,TR Tauern TARHU41,14T-38220-TA041Q,APG,,,1554.0,220.0,400.0,0.0005630630630630631,0.04513864513864514,-4321.397388,1725.536736,,60.0,ASYM,,1.253,,POINT (12.739733378696268 47.27759548453195),38868243,341.88,38868243T
78,TR Tauern TARHU42,14T-38220-TA042O,APG,,,1554.0,220.0,400.0,0.0005630630630630631,0.04513864513864514,-4321.397388,1725.536736,,60.0,ASYM,,1.253,,POINT (12.739733378696268 47.27759548453195),38868243,341.88,38868243T
74,TR St. Peter SPRHU41,14T-38220-SP041V,APG,,,1427.0,220.0,400.0,0.0006185895394024336,0.04809517742243741,-2109.4978542,877.713452,,-60.0,ASYM,,1.253,,POINT (13.081870668673746 48.256519536727325),81540198,313.94,81540198T
75,TR St. Peter SPRHU42,14T-38220-SP042T,APG,,,1427.0,220.0,400.0,0.0006185895394024336,0.04809517742243741,-2109.4978542,877.713452,,-60.0,ASYM,,1.253,,POINT (13.081870668673746 48.256519536727325),81540198,313.94,81540198T
76,TR St. Peter SPRHU43,14T-38220-SP043R,APG,,,1427.0,220.0,400.0,0.0006185895394024336,0.04809517742243741,-2109.4978542,877.713452,,-60.0,ASYM,,1.253,,POINT (13.081870668673746 48.256519536727325),81540198,313.94,81540198T
68,TR Lienz LIRHU41,14T-38220-LI041Y,APG,,,1554.0,220.0,400.0,0.0006423306423306423,0.04514157014157014,-5479.242384,1951.724544,,60.0,ASYM,,1.253,,POINT (12.805760955273785 46.82504401999443),162826525,341.88,162826525T
69,TR Lienz LIRHU42,14T-38220-LI042W,APG,,,1554.0,220.0,400.0,0.0006423306423306423,0.04514157014157014,-5479.242384,1951.724544,,60.0,ASYM,,1.253,,POINT (12.805760955273785 46.82504401999443),162826525,341.88,162826525T
81,TR Westtirol WTRHU41,14T-38220-WT041O,APG,,,1443.0,400.0,220.0,0.0005174982674982675,0.03742376992376992,-3845.0178000000005,981.24,,59.99,ASYM,,1.388,,POINT (10.873845198722057 47.24424668126896),727225348,577.2,727225348T
71,TR Obersielach OSRHU41,14T-38220-OS0413,APG,,,1556.0,220.0,400.0,0.0006415050245384435,0.045083547557840616,-5486.294176,1954.236416,,60.0,ASYM,,1.253,,POINT (14.681460598338008 46.66845419378629),83831570,342.32,83831570T
72,TR Obersielach OSRHU43,14T-RHU43-OS---K,APG,,,1531.0,220.0,400.0,0.0005263939196009738,0.04634225996080993,-3386.89351,890.114214,,60.0,ASYM,,1.253,,POINT (14.681460598338008 46.66845419378629),83831570,336.82,83831570T
