unit_id,capacity_kw,lat,lon,mounting_type,voltage_level
SEE903048865665,1266.8,51.671272,9.381222,,MV
SEE952083574476,8340.0,49.416361,10.681028,,MV
SEE994872405684,2023.0,51.068775,12.205957,,MV
SEE972677762652,1000.0,50.236084,11.050589,,MV
SEE936930075873,3625.28,48.64,12.423,,MV
SEE927146066595,1150.2,49.59051,7.200563,,MV
SEE953239725025,3982.26,54.300692,12.92,,MV
SEE989161136004,3349.72,49.482027,7.125189,,MV
SEE933998118603,1100.0,48.81386,12.7796,,MV
SEE933290191069,3168.0,51.455198,11.739311,,MV
SEE912459066721,9090.0,48.751312,10.169209,,MV
SEE911794319455,2168.4,52.3804,14.5227,,MV
SEE926079243721,2800.0,53.7336,12.7794,,MV
SEE989883258411,3120.0,51.9181,8.4482,,MV
SEE940155260877,1600.8,53.2654,12.8192,,MV
SEE968694944010,3953.56,51.3077,11.9618,,MV
SEE952561386782,7986.0,51.538096,13.940861,,MV
SEE988652637358,2400.0,49.282057,7.285792,,MV
SEE992499090788,1366.2,48.0349,11.1742,,MV
SEE966118062753,2000.0,49.991,10.1587,,MV
SEE930608590132,1584.0,51.681691,14.516307,,MV
SEE957427813617,5216.4,51.788877,12.055634,,MV
SEE971944619491,1584.0,51.707562,14.483754,,MV
SEE985641656390,3708.0,51.707562,14.483754,,MV
SEE938820181329,1962.0,51.707562,14.483754,,MV
SEE976721859220,7800.0,51.702444,14.398055,,MV
SEE919101675706,1200.0,48.772764,12.189275,,MV
SEE911157803850,2520.0,51.702444,14.398056,,MV
SEE904615549902,6500.0,49.706,9.485,,MV
SEE929375294725,1000.0,49.706,9.485,,MV
SEE931997042912,5251.33,51.093718,9.482155,,MV
SEE944497198522,2755.0,51.66453,14.625888,,MV
SEE944813923760,1170.24,50.894,12.074,,MV
SEE918939814394,1250.0,51.8717,14.389,,MV
SEE992314901190,2277.12,54.37264,12.698367,,MV
SEE957099748842,1586.0,50.596896,9.512317,,MV
SEE999526177979,5560.0,51.680489,14.437515,,MV
SEE933490953979,2100.0,51.680489,14.437515,,MV
SEE990003940192,1590.0,51.169588,11.060689,,MV
SEE962803624565,4400.0,50.1317,10.4637,,MV
SEE919366564876,4200.0,48.543317,12.568121,,MV
SEE945780473036,1132.21,48.355678,11.771097,,MV
SEE981006546368,2637.5,51.43,8.56,,MV
SEE954724155457,1000.31,51.510208,11.578849,,MV
SEE924912115501,1260.0,49.4519,11.5811,,MV
SEE905425941283,1260.0,50.7146,12.3824,,MV
SEE991722370376,8250.0,49.6729,11.0523,,MV
SEE928351033341,1000.0,48.2207,12.1418,,MV
SEE922554173415,1400.0,48.392697,12.726107,,MV
SEE957533408233,4320.0,52.390004,14.093905,,MV
SEE901840180382,1014.3,51.5443,12.124,,MV
SEE915892415729,1276.0,50.8845,12.8028,,MV
SEE969602103918,1870.0,50.8436,12.3245,,MV
SEE937479057504,1140.0,50.3941,12.4155,,MV
SEE932933735547,1531.8,51.804845,9.199178,,MV
SEE950749577830,1000.0,48.268606,10.849154,,MV
SEE916686576664,4756.5,52.533889,11.430278,,MV
SEE900871406874,7700.0,51.042473,11.628797,,MV
SEE982738066742,1350.0,53.023,8.653,,MV
SEE905259619594,1268.0,51.349488,11.6339,,MV
SEE998664613592,2597.76,49.928913,10.331552,,MV
SEE956645886960,3006.12,51.488763,10.826282,,MV
SEE910023268809,1092.505,51.938,12.227,,MV
SEE909408777098,2220.0,51.655119,11.481519,,MV
SEE929931338009,1957.08,51.017243,12.291894,,MV
SEE963012598142,2937.0,51.042554,12.332298,,MV
SEE924215957532,3960.0,50.979183,12.497335,,MV
SEE993111822138,1436.4,49.653628,10.116495,,MV
SEE966463446734,4100.4,52.736857,14.131242,,MV
SEE956858005790,1600.0,52.101,8.558,,MV
SEE920572451805,4988.0,50.934188,14.862725,,MV
SEE934620702603,2100.0,47.8793,11.9791,,MV
SEE999824594904,2508.0,50.967013,12.509319,,MV
SEE954039042268,2699.52,52.873,7.219,,MV
SEE926248547032,4300.0,47.813753,8.988533,,MV
SEE931872942566,1863.0,47.702,9.161,,MV
SEE987686971667,4790.0,49.612302,10.17834,,MV
SEE979854167675,1600.0,51.193347,9.743069,,MV
SEE944575460039,2000.0,49.856159,11.813031,,MV
SEE936462500423,1452.0,51.295,13.554,,MV
SEE927388494125,2400.0,47.744626,8.922304,,MV
SEE978567131423,1237.68,47.744584,8.923959,,MV
SEE984683429344,2000.0,48.368011,13.090012,,MV
SEE962890911876,1206.0,48.167,12.161,,MV
SEE993103810068,1431.36,49.674085,10.329253,,MV
SEE930347264530,1350.0,48.012237,10.256019,,MV
SEE967277397168,1035.0,50.55154,9.356333,,MV
SEE916269769759,1992.38,48.624913,12.880743,,MV
SEE970607025969,2844.0,50.449329,9.366019,,MV
SEE969206284556,4686.0,50.760716,13.773835,,MV
SEE999374581744,3960.0,50.75948,13.772526,,MV
SEE958040166289,2913.7,52.453803,11.476931,,MV
SEE980775308030,3960.0,49.162579,10.369916,,MV
SEE960363978791,4220.0,51.33725,13.358722,,MV
SEE936809180813,7899.3,53.195851,12.515013,,MV
SEE957086055960,6030.0,49.791113,9.717185,,MV
SEE972381518194,1860.0,51.516192,12.059337,,MV
SEE903966602854,6300.0,53.267795,13.705062,,MV
SEE931155981022,1680.0,51.867095,13.766811,,MV
SEE970339268061,6600.0,53.693778,9.464338,,MV
SEE914917708402,8976.0,51.363264,13.344038,,MV
SEE970590114596,8280.0,52.641896,14.32883,,MV
SEE964427762319,1800.0,51.672169,11.720299,,MV
SEE956144771446,2574.0,51.627,9.93,,MV
SEE981400528748,1288.0,52.242384,9.950571,,MV
