unit_id,capacity_mw,fuel_type,commissioning_date,lat,lon
SEE904354457438,0.0055,Erdgas,2018-08-15,,
SEE953421396545,0.05,Erdgas,2017-09-04,53.53,9.69
SEE967940070107,0.0055,Erdgas,2005-07-20,,
SEE904829046587,0.001,Erdgas,2014-07-25,,
SEE911749507173,0.0055,Erdgas,2018-10-12,,
SEE917709970698,0.0055,Erdgas,2014-09-23,,
SEE901400041030,0.02,Erdgas,2014-11-03,,
SEE900449057286,0.099,Erdgas,2018-12-27,51.985218,8.661621
SEE915640855715,0.05,Erdgas,2016-11-30,51.347,7.403
SEE927543672177,0.019,Erdgas,2016-03-02,,
SEE935039111062,0.001,Erdgas,2013-03-13,,
SEE978267546510,0.034,Erdgas,2016-09-20,50.886,7.058
SEE925324608292,0.0055,Erdgas,2002-07-11,,
SEE949791786901,0.0054,Erdgas,2012-12-05,,
SEE921872873076,0.0055,Erdgas,2011-09-13,,
SEE938861219685,0.0055,Erdgas,2009-10-27,,
SEE934730049612,0.006,Mineralölprodukte,2015-05-27,,
SEE958118195708,0.0054,Erdgas,2012-12-05,,
SEE902214962610,0.00075,Erdgas,2018-11-20,,
SEE905242620460,0.0053,Erdgas,2004-08-30,,
SEE913200238916,0.00075,Erdgas,2018-11-07,,
SEE959917353245,0.4148,Erdgas,2011-09-16,52.946,8.017
SEE916218219809,0.00075,Erdgas,2018-11-01,,
SEE944344269627,0.003,Erdgas,2016-07-12,,
SEE991451531567,0.0055,Erdgas,2010-08-16,,
SEE996205552881,0.022,Erdgas,2015-03-24,,
SEE916455825825,0.24,Erdgas,2014-01-21,51.360523,8.478909
SEE956839233310,0.001,Erdgas,2018-02-14,,
SEE958682275547,0.05,Erdgas,2018-06-22,51.485,7.056
SEE932502064245,0.0055,Erdgas,2018-11-20,,
SEE953230978741,1.94,Erdgas,2018-09-05,52.371,14.05
SEE933724446772,0.016,Erdgas,2016-08-31,,
SEE907239270849,0.238,Erdgas,2016-12-29,48.839804,8.866943
SEE924545341988,0.003,Erdgas,2010-10-28,,
SEE995448348091,0.00035,Erdgas,2017-12-21,,
SEE934672753813,0.0054,Erdgas,2010-05-25,,
SEE911676677451,0.0055,Erdgas,2016-07-18,,
SEE940378910146,0.14,Erdgas,2016-12-29,48.839794,8.866948
SEE926652888868,0.00075,Erdgas,2018-12-17,,
SEE966442085220,0.35,andere Gase,2016-10-21,51.076065,12.197402
SEE976550266848,0.00075,Erdgas,2018-10-08,,
SEE932495212135,0.00075,Erdgas,2018-10-29,,
SEE924419859717,0.238,Erdgas,2019-01-15,48.091123,11.308048
SEE981193871779,0.0047,Erdgas,2016-05-01,,
SEE952064574853,0.0055,Erdgas,2006-10-25,,
SEE909754695503,0.034,Erdgas,2010-09-23,51.840221,8.033138
SEE916556018881,0.00075,Erdgas,2019-01-07,,
SEE966077695818,0.8,Erdgas,2018-05-08,51.319017,11.986194
SEE979306363655,0.075,Mineralölprodukte,1995-06-01,49.898,8.654
SEE950389550965,0.00075,Erdgas,2018-05-14,,
SEE946164496078,0.006,Erdgas,2018-06-06,,
SEE912037755702,0.099,Erdgas,2018-10-11,48.059,10.508
SEE995656013149,0.0193999999999999,Erdgas,2018-08-30,,
SEE985509287834,0.4,Mineralölprodukte,2018-01-12,49.898,8.654
SEE957859846153,0.0042,Erdgas,2018-11-30,,
SEE994665135804,0.00075,Erdgas,2018-07-13,,
SEE944433109292,0.899,Mineralölprodukte,2018-06-07,49.898,8.654
SEE968460851634,0.4,Erdgas,2014-07-08,49.975,11.027
SEE926043788333,0.0183,Erdgas,2018-07-18,,
SEE933553006673,0.006,Erdgas,2018-02-28,,
SEE977695536735,0.0055,Erdgas,2012-07-11,,
SEE904731825720,0.00075,Erdgas,2018-10-30,,
SEE920130307896,0.02,Erdgas,2016-11-29,,
SEE911318061907,0.0055,Erdgas,2018-07-18,,
SEE959674412933,0.0055,Erdgas,2012-02-13,,
SEE981854542246,0.025,Mineralölprodukte,1990-07-06,,
SEE902746999122,0.00075,Erdgas,2018-11-21,,
SEE979031907506,0.00075,Erdgas,2019-01-21,,
SEE961859787897,1.0,Mineralölprodukte,2008-09-15,49.898,8.654
SEE916995849817,0.02,Erdgas,2018-10-08,,
SEE912967108890,0.005,Mineralölprodukte,2012-05-03,,
SEE977466226001,0.0007,Erdgas,2018-12-18,,
SEE956141893301,0.02,Erdgas,2013-12-17,,
SEE978170341363,0.0495,Erdgas,2014-07-25,53.90224,13.041767
SEE934589996532,0.66,Erdgas,1994-12-21,50.558,10.397
SEE917885075170,0.02,Erdgas,2013-12-17,,
SEE958234916560,0.14,Mineralölprodukte,2003-07-04,49.898,8.654
SEE995581154351,0.14,Mineralölprodukte,2003-01-16,49.898,8.654
SEE947199004801,1.467,Erdgas,2013-11-01,47.876141,7.64616
SEE957069014557,0.05,Erdgas,2015-10-28,53.902201,13.041827
SEE971438575494,0.11,Mineralölprodukte,1994-11-10,49.898,8.654
SEE923105583745,0.0055,Erdgas,2010-10-21,,
SEE943668823430,0.0011,Erdgas,2016-12-06,,
SEE905736770107,0.235,Mineralölprodukte,2001-06-25,49.898,8.654
SEE904564398460,0.00075,Erdgas,2018-09-04,,
SEE994837104072,0.05,Erdgas,2011-11-15,49.176,9.254
SEE952576150538,0.29,Mineralölprodukte,2000-07-04,49.898,8.654
SEE961717628515,0.05,Erdgas,2017-12-15,52.592058,13.277445
SEE921045816626,0.238,Erdgas,2014-06-11,48.092,11.283
SEE996591846281,0.0054,Erdgas,2013-04-23,,
SEE926926942081,0.064,Erdgas,2017-05-09,51.205,9.907
SEE951977141114,0.072,Mineralölprodukte,1999-09-19,49.898,8.654
SEE995071046487,0.02,Erdgas,2015-08-18,,
SEE953340152710,0.9,Mineralölprodukte,1997-01-01,49.898,8.654
SEE947257089313,0.019,Erdgas,2013-09-12,,
SEE988562844891,0.0055,Erdgas,2016-12-02,,
SEE910062111326,0.05,Erdgas,2018-12-03,49.201226,9.519124
SEE966297335990,0.0055,Erdgas,2010-08-20,,
SEE977227873154,0.005,Mineralölprodukte,2009-04-27,,
SEE958225388932,0.02,Erdgas,2015-12-09,,
SEE990029450637,0.5,Mineralölprodukte,2017-06-28,49.898,8.654
SEE956316254357,0.064,Erdgas,2017-05-09,51.205,9.907
SEE938502476927,0.02,Erdgas,2018-02-20,,
SEE933077314896,0.5,Mineralölprodukte,2002-03-01,49.898,8.654
SEE994892059355,0.064,Erdgas,2017-05-09,51.205,9.907
SEE919967303966,0.0055,Erdgas,2009-08-18,,
SEE958346824616,0.025,Mineralölprodukte,1985-01-01,,
SEE975172698617,0.064,Erdgas,2017-05-09,51.205,9.907
SEE913081503578,0.0055,Erdgas,2005-07-27,,
SEE905962238228,0.02,Erdgas,2014-09-15,,
SEE938727415244,0.064,Erdgas,2017-09-05,51.205,9.907
SEE958691439831,0.00075,Erdgas,2017-11-14,,
SEE970584792090,0.064,Erdgas,2017-05-09,51.205,9.907
SEE908914357244,0.0085,Erdgas,2015-02-03,,
SEE917975990864,0.12,Mineralölprodukte,1996-01-01,49.898,8.654
SEE918964086414,0.237,Erdgas,2014-07-31,54.001,10.78
SEE900115002367,0.02,Erdgas,2017-11-29,,
SEE954236722086,0.567,Mineralölprodukte,2005-11-01,49.769,8.478
SEE930461144367,0.02,Erdgas,2017-11-29,,
SEE900312975952,0.15,Erdgas,2014-07-30,52.05077,7.484955
SEE916545169853,0.45,Mineralölprodukte,2008-12-19,49.769,8.478
SEE932024142407,0.2385,Mineralölprodukte,1972-11-01,49.769,8.478
SEE943668046051,0.006,Erdgas,2016-12-13,,
SEE913298765387,0.45,Mineralölprodukte,1998-06-16,49.769,8.478
SEE975991626709,0.00075,Erdgas,2018-11-06,,
SEE916957938160,0.001,Erdgas,2013-11-05,,
SEE940005985011,0.567,Mineralölprodukte,2005-11-15,49.769,8.478
SEE988144525491,0.00535,Erdgas,2006-07-26,,
SEE915277264577,0.00075,Erdgas,2018-09-10,,
SEE907976700890,0.45,Mineralölprodukte,2008-10-13,49.769,8.478
SEE901806294610,0.0055,andere Gase,2009-09-15,,
SEE979956857245,0.005,Erdgas,2011-09-19,,
SEE963440647382,0.0055,Erdgas,2018-02-28,,
SEE941568476039,46.0,nicht biogener Abfall,1998-02-02,51.004,6.951
SEE978834836525,0.05,Erdgas,2018-10-23,51.673938,8.58647
SEE931393368586,0.00075,Erdgas,2018-09-15,,
SEE942956157011,18.0,nicht biogener Abfall,2017-05-30,51.004,6.951
SEE980473951859,0.00075,Erdgas,2018-10-23,,
SEE913300622158,0.0055,Erdgas,2004-09-09,,
SEE977848081952,0.0055,andere Gase,2012-07-12,,
SEE991311429133,0.0055,Erdgas,2015-11-23,,
SEE973588140805,0.011,Erdgas,2018-04-15,,
SEE914923542236,0.00075,Erdgas,2019-01-22,,
SEE979405572545,0.0055,Erdgas,2006-11-25,,
SEE954278312443,0.001,Erdgas,2012-08-10,,
SEE990776951760,0.00075,Erdgas,2018-10-30,,
SEE978605370326,0.0015,Erdgas,2017-11-06,,
SEE977677096905,0.00075,Erdgas,2018-11-14,,
SEE979454637790,0.016,Mineralölprodukte,2018-11-26,,
SEE998369692267,0.00075,Erdgas,2018-06-26,,
SEE937442468733,0.0055,Erdgas,2014-03-17,,
SEE919449612173,0.00075,Erdgas,2018-10-24,,
SEE973181159518,0.0075,Erdgas,2019-01-23,,
SEE946637865837,0.0055,Erdgas,2016-11-28,,
SEE939926617514,0.001,andere Gase,2015-12-20,,
SEE907209674844,0.00075,Erdgas,2018-08-27,,
SEE916152891840,0.0055,Erdgas,2018-06-15,,
SEE955287720380,0.0055,Erdgas,2006-01-30,,
SEE992314184371,0.00075,Erdgas,2018-12-04,,
SEE910873042178,0.00075,Erdgas,2018-11-15,,
SEE908760024055,0.00095,andere Gase,2013-07-31,,
SEE999444864074,0.0055,Erdgas,2004-04-01,,
SEE911710048308,0.001,Erdgas,2011-03-25,,
SEE986281303125,0.0053,Mineralölprodukte,2005-10-13,,
SEE940218244356,0.02,Erdgas,2016-12-02,,
SEE942814299716,0.0055,Erdgas,2015-11-26,,
