ags,name,type,nuts3,area_km2,hh_mwh,cts_mwh,industry_mwh,total_mwh,total_gwh,density_mwh_per_km2
11000000,Berlin,Stadt,DE300,891.8173320940242,5739948.011871732,5311593.682627576,8138732.255639029,19190273.950138338,19190.273950138337,21518.166623964098
02000000,Hamburg,Stadt,DE600,742.5170829414903,2876157.281849101,2661518.6787260305,4078133.4593382725,9615809.419913404,9615.809419913403,12950.287125812996
09162000,München,Stadt,DE212,311.40423626656644,2365067.6762240324,2188570.088446115,3353454.1677803374,7907091.9324504845,7907.091932450485,25391.728857798524
05315000,Köln,Stadt,DEA23,406.6630717085836,1729440.8891077782,1600378.1361892894,2452192.3054513303,5782011.330748398,5782.011330748398,14218.186339013862
06412000,Frankfurt am Main,Stadt,DE712,248.2451449659155,1194759.6566400344,1105598.488234062,1694062.199713482,3994420.3445875784,3994.4203445875783,16090.628258353328
08111000,Stuttgart,Stadt,DE111,210.00162690080435,1017100.0462861941,941197.0577573775,1442156.7820475944,3400453.886091166,3400.453886091166,16192.512107048546
05111000,Düsseldorf,Stadt,DEA11,217.4475709062121,998249.7012133176,923753.4548541148,1415428.6808248532,3337431.8368922854,3337.4318368922854,15348.213930298454
05913000,Dortmund,Stadt,DEA52,279.68678194109685,955857.6232842791,884524.9648302288,1355320.5106269636,3195703.098741472,3195.703098741472,11426.006894435575
05113000,Essen,Stadt,DEA13,210.46742901471325,950057.3916731861,879157.5863244412,1347096.3016261598,3176311.279623787,3176.311279623787,15091.69991049655
14713000,Leipzig,Stadt,DED51,298.99616002594286,913935.173329376,845731.0559167357,1295878.2308401596,3055544.460086271,3055.544460086271,10219.343485284735
04011000,Bremen,Stadt,DE501,325.7264409819579,907760.9703677696,840017.614370175,1287123.7639543004,3034902.348692245,3034.9023486922447,9317.334937695
14612000,Dresden,Stadt,DED21,328.0840372737293,886789.6980328151,820611.3623587241,1257388.3778077224,2964789.4381992617,2964.789438199262,9036.676891797873
