nuts3,hh_mwh,cts_mwh,ind_mwh,total_mwh,total_gwh,population
DE300,5739948.011871732,5311593.682627576,8138732.255639029,19190273.950138338,19190.273950138337,3520031.0
DE600,2914641.659690966,2697131.0880722334,4132700.8607558412,9744473.60851904,9744.47360851904,1787408.0
DE212,2365067.6762240324,2188570.088446115,3353454.1677803374,7907091.9324504845,7907.091932450485,1450381.0
DE929,1866251.0189753983,1726978.5548727529,2646176.817950186,6239406.391798337,6239.406391798337,1144481.0
DEA23,1729440.8891077782,1600378.1361892894,2452192.3054513303,5782011.330748398,5782.011330748398,1060582.0
DE712,1194759.6566400344,1105598.488234062,1694062.199713482,3994420.3445875784,3994.4203445875783,732688.0
DE111,1017100.0462861941,941197.0577573775,1442156.7820475944,3400453.886091166,3400.453886091166,623738.0
DEA36,1007428.6451938754,932247.4030152276,1428443.6013943006,3368119.6496034036,3368.1196496034036,617807.0
DEA11,998249.7012133176,923753.4548541148,1415428.6808248532,3337431.8368922854,3337.4318368922854,612178.0
DEA2C,972216.3310499492,899662.8735089081,1378515.6932797786,3250394.897838636,3250.3948978386356,596213.0
DEA52,955857.6232842791,884524.9648302288,1355320.5106269636,3195703.098741472,3195.703098741472,586181.0
DEA13,950057.3916731861,879157.5863244412,1347096.3016261598,3176311.279623787,3176.311279623787,582624.0
DED51,913935.173329376,845731.0559167357,1295878.2308401596,3055544.460086271,3055.544460086271,560472.0
DE501,909030.1700439753,841192.0976526341,1288923.3754354876,3039145.643132097,3039.145643132097,557464.0
DEA2D,903254.3982232014,835847.3535796794,1280733.8482269282,3019835.600029809,3019.835600029809,553922.0
DED21,886789.6980328151,820611.3623587241,1257388.3778077224,2964789.4381992617,2964.789438199262,543825.0
DE128,883583.8348482742,817644.7426954183,1252842.75090427,2954071.3284479626,2954.0713284479625,541859.0
DE115,870889.2036724635,805897.4720551155,1234842.9007296124,2911629.5764571913,2911.6295764571914,534074.0
DE113,854669.1013852712,790887.8251624897,1211844.248232847,2857401.174780608,2857.401174780608,524127.0
DE254,831592.1045451843,769532.9922656927,1179123.1333103355,2780248.230121212,2780.248230121212,509975.0
DEA12,801027.1505619591,741249.0049976341,1135784.7657221814,2678060.9212817745,2678.0609212817744,491231.0
DEA1C,788060.2003872583,729249.7376717911,1117398.7915938734,2634708.7296529226,2634.7087296529226,483279.0
DEA27,760955.491407896,704167.7681685011,1078966.7415485098,2544090.001124907,2544.090001124907,466657.0
DEA1F,754444.2952248503,698142.4821483688,1069734.4484531458,2522321.225826365,2522.3212258263648,462664.0
DEA1D,733836.1065543423,679072.2180055112,1040513.8824277995,2453422.206987653,2453.4222069876528,450026.0
DEA37,722989.0048739961,669034.6015251909,1025133.6636273086,2417157.2700264957,2417.1572700264956,443374.0
DE123,710705.2981755532,657667.5893564817,1007716.4675623509,2376089.355094386,2376.0893550943856,435841.0
DE134,685046.9781304165,633924.0693147136,971335.2674983515,2290306.3149434817,2290.3063149434815,420106.0
DE116,683987.0538832382,632943.2438919523,969832.389834443,2286762.6876096334,2286.7626876096333,419456.0
