line_id,bus0,bus1,v_nom,parallel_count
16,2647,35304,110,2
17,3070,3071,380,4
18,2078,3074,380,4
19,2078,36532,380,11
20,3074,3070,380,4
23,38262,3327,110,4
25,3322,3323,110,4
28,35115,4022,380,2
31,2078,37982,380,3
32,2078,36532,380,11
33,2078,2079,380,2
34,2078,36532,380,11
35,2085,2084,380,2
36,4448,36490,110,2
39,35458,1964,110,4
40,35620,1974,380,2
42,2173,2179,110,2
43,35982,2753,220,2
44,39251,2751,220,4
47,4639,4641,380,2
49,39430,35617,220,3
52,2848,35998,110,2
59,2848,2850,110,2
60,38766,39433,110,2
65,2394,2395,380,2
71,2490,2491,380,2
72,2487,34770,380,3
73,2499,2498,380,2
74,2494,35213,380,2
75,2487,2498,380,2
80,3278,3282,380,1
84,2337,2347,220,2
86,2547,2548,110,2
90,2206,2207,110,2
92,3848,3847,110,2
97,35049,3458,110,6
98,3458,2507,110,2
99,37037,2507,110,2
102,36129,3184,110,2
104,2008,2010,110,2
106,2059,2058,110,4
107,37840,2059,110,6
110,35107,35579,110,2
111,2011,36701,110,4
138,35627,35499,110,2
142,36718,2889,110,2
213,5870,36314,110,2
229,3009,34942,380,2
244,5870,39043,110,1
245,39043,36313,110,1
265,774,775,110,2
333,34929,2233,220,5
340,5437,39541,110,2
341,39541,34804,110,2
358,5580,5581,220,2
359,5528,5527,110,2
364,3936,36088,110,2
371,36315,6186,110,1
374,6186,36509,110,2
375,5848,5211,220,2
391,35056,2262,220,4
396,35800,5176,110,2
397,12,13,380,2
420,37057,2299,110,2
421,1787,1788,110,2
422,1789,37366,110,2
423,1789,1791,110,2
424,34809,1787,110,2
425,1788,1791,110,2
426,38377,1793,110,2
428,35721,1800,110,2
429,1794,1800,110,1
430,1793,1794,110,2
434,1801,35654,380,2
436,1819,35387,380,2
439,39406,1815,380,3
440,39914,1819,380,2
445,1801,1812,380,2
446,1810,39406,380,2
451,1812,1810,380,2
458,5851,5850,220,2
459,1835,39200,110,4
460,35439,1831,110,2
461,1831,1832,110,2
462,1832,36691,110,2
464,1833,36467,110,2
465,37367,36467,110,2
467,1832,1833,110,2
468,36467,1835,110,2
471,1851,35277,220,3
475,35050,1850,220,3
476,1850,1851,220,3
483,37375,35108,380,2
488,35445,35444,110,1
489,1869,1871,110,3
490,1872,1871,110,3
491,1870,35331,110,2
492,1869,1870,110,2
495,35661,1872,110,2
496,1880,1876,110,2
497,1876,34840,110,2
498,1880,1881,110,2
499,34748,39217,380,2
501,1876,34807,110,2
502,34807,1902,110,2
503,1902,1893,110,2
504,36395,1893,110,2
505,1902,35723,110,2
506,1885,1896,110,2
507,1884,1899,110,2
509,1899,37319,110,2
510,1900,37318,110,2
512,37125,1893,110,2
515,1895,1896,110,2
516,1884,1885,110,2
517,1899,1900,110,2
518,1893,1895,110,2
520,1907,1913,110,2
521,340,341,220,2
524,35864,1911,110,2
525,1914,1913,110,2
526,1905,1906,110,2
527,1906,1914,110,2
528,1905,1911,110,2
529,1907,35214,110,2
530,34771,1912,110,2
531,1912,1907,110,2
532,36133,36137,110,2
534,1920,1921,110,4
535,35773,1921,110,2
536,34928,1920,110,4
538,34788,35937,220,5
543,1972,1971,110,2
547,35937,34799,220,4
550,35800,1936,110,2
551,1936,39486,110,2
552,34759,1941,110,2
553,1941,1938,110,2
554,1938,34763,110,2
555,1942,36133,110,2
556,35308,1942,110,2
557,1949,1950,380,2
558,1950,35734,380,2
559,34761,1949,380,2
562,35444,1955,110,2
563,1955,1956,110,2
564,37521,1951,110,2
566,617,35260,110,2
567,1951,35442,110,2
568,1956,37521,110,2
570,1972,35186,110,2
571,1966,35190,110,3
573,1965,1966,110,2
574,1971,1965,110,2
576,1974,35618,380,2
578,1987,1989,110,2
579,1977,1978,110,2
580,1982,1981,110,2
582,1978,1982,110,2
583,39206,1977,110,2
584,1987,38683,110,2
585,39206,35268,110,2
586,35421,1981,110,2
587,38217,35421,110,8
589,1995,1990,110,2
590,1990,38720,110,2
591,35158,1995,110,2
593,36580,39000,110,1
596,2004,2008,110,2
597,36154,2004,110,1
598,2001,2010,110,2
599,36714,2001,110,2
600,34771,2006,110,12
602,2009,2004,110,2
603,35828,2015,110,2
604,2011,39048,110,2
605,2015,39047,110,2
607,38788,38789,110,1
611,41,34742,110,6
612,39047,38789,110,2
613,34964,5595,220,2
615,39048,38789,110,2
616,2027,2028,110,2
617,2027,36379,110,2
618,36592,2025,110,2
619,35331,2024,110,2
622,2028,2029,110,2
623,2029,2030,110,2
625,2025,2027,110,2
626,2030,39157,110,2
627,2024,36592,110,2
628,2033,36299,110,4
629,2033,2034,110,5
630,35395,2034,110,2
632,35627,2039,110,2
633,38559,3202,110,2
634,2040,38559,110,2
635,2039,2040,110,2
638,2051,36256,110,2
639,2058,2054,110,3
