type,id,carrier,bus,v_nom,p_nom_MW,state,lat,lon,bus_evac_MVA,nearest_real,real_MW,real_kV,dist_km,issues
generator,13692,gas_ccgt,36532,380,1645.0,Niedersachsen,52.477,7.308,16111,Emsland-D,863,380,0.8,AGGREGATION_CONV (1.9x nearest real Emsland-D)
storage,1082,pumped_hydro,25378,110,1538.0,Bayern,47.437,10.288,0,Walchensee,124,110,75.7,GHOST (>76 km from any real pumped-hydro plant); OVERSIZED (1538 MW > 250 MW threshold for 110 kV)
generator,11323,gas_ccgt,34767,380,1326.0,Nordrhein-Westfalen,50.864,6.843,0,Knapsack,792,220,1.1,AGGREGATION_CONV (1.7x nearest real Knapsack); VOLT_MISMATCH (model 380 vs real Knapsack's 220 kV)
generator,12987,coal,36079,380,1102.0,Hessen,50.083,8.959,11581,Mannheim GKM,2050,220,78.2,GHOST_CONV (>78 km from any real hard_coal plant); VOLT_MISMATCH (model 380 vs real Mannheim GKM's 220 kV)
generator,6362,coal,19951,380,1098.0,Baden-Württemberg,49.452,8.544,0,Mannheim GKM,2050,220,4.9,VOLT_MISMATCH (model 380 vs real Mannheim GKM's 220 kV)
generator,13729,gas_chp,36558,110,893.3,Rheinland-Pfalz,50.028,8.237,0,Block Mainz K6,300,220,5.2,AGGREGATION_CONV (3.0x nearest real Block Mainz K6); VOLT_MISMATCH (model 110 vs real Block Mainz K6's 220 kV); OVERSIZED (893 MW > 250 MW threshold for 110 kV)
generator,18184,gas_chp,40118,110,826.4,Nordrhein-Westfalen,51.213,6.715,0,Lausward (DUS),600,380,2.7,VOLT_MISMATCH (model 110 vs real Lausward (DUS)'s 380 kV); OVERSIZED (826 MW > 250 MW threshold for 110 kV)
generator,12140,gas_chp,35481,110,824.0,Bayern,49.419,11.008,2900,Irsching 4/5,1410,380,80.4,GHOST_CONV (>80 km from any real gas plant); VOLT_MISMATCH (model 110 vs real Irsching 4/5's 380 kV); OVERSIZED (824 MW > 250 MW threshold for 110 kV)
storage,2004,pumped_hydro,37397,110,789.0,Bayern,47.481,11.063,780,Walchensee,124,110,22.8,AGGREGATION (6.4x nearest real); EVAC_DEFICIT (bus capacity 780 MVA < gen+stor 798 MW); OVERSIZED (789 MW > 250 MW threshold for 110 kV)
generator,17334,coal,39445,380,778.0,Baden-Württemberg,49.178,9.207,4897,Heilbronn,860,220,2.3,VOLT_MISMATCH (model 380 vs real Heilbronn's 220 kV)
