bus_id,v_nom
127,380
130,380
157,380
162,380
340,220
343,220
564,220
568,220
578,380
608,220
609,220
611,220
620,220
621,220
628,220
629,220
630,220
631,220
633,220
715,380
716,380
717,380
719,380
720,380
754,380
758,380
884,380
1146,380
1147,380
1252,380
1257,380
1266,380
1555,220
1593,380
1687,380
1688,380
1927,220
2080,380
2499,380
2708,380
2752,220
2856,380
2894,220
3267,220
3269,220
3415,380
3819,220
3825,220
4034,380
4215,220
4216,220
4232,380
4276,220
4497,380
4498,380
4627,380
4707,380
4709,380
5215,220
5370,380
6979,380
7969,380
8150,220
8332,380
8336,380
8362,380
8517,220
8717,380
8972,220
9114,380
9153,220
9917,380
10147,380
10547,220
10702,220
11233,380
11347,380
11350,380
11871,380
11973,380
11974,380
11978,380
11979,380
11999,220
12049,220
12186,380
12269,220
12271,220
12308,220
12332,380
12342,380
12606,380
12611,380
13137,380
13818,220
13864,380
14202,380
14244,380
14293,380
14360,220
14508,380
14567,380
14673,380
14734,380
14746,380
14790,380
14791,380
15068,220
15201,220
15202,220
15231,380
15306,380
15307,380
15322,380
16221,380
16476,380
16993,380
16994,380
17888,380
17889,380
17892,380
17893,380
17894,380
17897,380
17898,380
17899,380
17953,380
17954,380
17961,380
17964,380
17965,380
17966,380
18218,380
18223,380
18228,380
18229,380
18231,380
18233,380
18372,380
19030,380
19031,380
19486,220
19544,380
19643,380
20230,380
20233,380
20234,380
20236,380
20243,380
21822,380
21989,380
22300,380
22483,380
22658,380
34452,220
39740,220
39844,380
39874,380
39882,380
39888,380
39900,220
39915,380
39937,220
39943,220
39968,220
39982,380
39989,380
39992,380
40006,220
40042,380
40169,380
40228,380
