line_id,bus0,bus1,r,x,s_nom,length,carrier,num_parallel,b,g,v_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,cables,terrain_factor,v_ang_min,v_ang_max,type,geom,topo
33083,12793,35132,6.734389552,19.409857807999998,520.0,61.692159913480495,AC,1.0,5.005462596883838e-06,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33084,4217,3826,1.70067557,4.901674668,520.0,16.246836891016265,AC,1.0,2.711557174456106e-06,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33085,8718,38263,0.1909212036,1.7137023779999998,3580.0,13.599761662342548,AC,1.0,2.503134809245325e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33086,1556,1559,0.65711228,1.8939210400000002,1040.0,12.041841540955081,AC,1.0,2.083101401454756e-05,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33087,4641,4628,0.10933173800000001,0.9813597279999999,3580.0,7.791747671060126,AC,1.0,1.715585893539165e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33088,12304,35679,1.4473173,4.17144596,1040.0,26.53004118169645,AC,1.0,4.514494482590058e-05,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33089,36027,14356,0.717072136,2.066745824,1040.0,13.153362600147418,AC,1.0,7.195732024226632e-06,0.0,220.0,True,1040.0,inf,1.0,0,inf,0.0,6,1.0,-inf,inf,,,
33090,40387,39204,1.30603044,6.99376612,550.0,116.95890955021892,AC,1.0,0.001745508627263561,0.0,220.0,True,550.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33091,2082,2090,0.1362003182,1.2225272219999999,3580.0,9.716251507228073,AC,1.0,2.0517098251114506e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33092,10376,10367,2.9153498,8.40261268,520.0,26.726268242446018,AC,1.0,2.3101591562350023e-05,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33093,17970,17963,0.1994903328,1.7906213699999998,3580.0,14.219834466726084,AC,1.0,3.30632751180179e-06,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33094,34792,8410,0.0772490904,0.69338714,5370.0,8.402310888755208,AC,1.0,2.114602285126935e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33095,17962,39318,0.1251450542,1.123299152,3580.0,8.923995721173917,AC,1.0,1.9411938730800535e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33096,37457,12331,0.501741626,4.5036194,3580.0,35.77897221923746,AC,1.0,7.876902739364069e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33097,8408,8407,0.9589954892,8.60792226,1790.0,34.201133241422255,AC,1.0,1.5596257714178625e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33098,39283,699,2.016427006,5.81173406,1040.0,36.93385839654737,AC,1.0,1.5468190401312685e-05,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33099,34816,40362,1.6536046864,14.842714271999998,1790.0,58.96344879394771,AC,1.0,1.1971523520900651e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33100,36167,12343,0.08208068950662539,0.7367553886032304,3580.0,6.497484417722696,AC,1.0,1.0603225667332248e-05,0.0,380.0,True,3580.0,inf,1.0,0,inf,0.0,6,1.0,-inf,inf,,,
33101,1592,35405,0.07667466567578418,0.6882298798437667,7160.0,10.923616431533887,AC,1.0,4.661887633278881e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33102,34816,11771,1.036695252,9.305352599999999,1790.0,36.936452491478704,AC,1.0,2.767321182550123e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33103,579,6980,0.809933824,7.2699479600000005,3580.0,57.75862217281812,AC,1.0,9.027152001211729e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33104,12093,11806,6.49062392,18.707277599999998,520.0,59.42558760376923,AC,1.0,4.907801562766455e-05,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33105,37842,11348,0.08135582640000001,0.730248128,3580.0,5.80297065852298,AC,1.0,1.1993601046099783e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33106,11349,9909,0.155863916,1.399028064,3580.0,11.116819758867468,AC,1.0,2.4447981642491426e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33107,19032,19037,0.15654700019999998,1.405162176,3580.0,11.167000373155668,AC,1.0,1.0772398636563684e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33108,1476,39166,0.313594563,2.814819524,3580.0,22.372871886814114,AC,1.0,1.0658079292533917e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33109,13764,16477,0.481199282,4.31923504,3580.0,34.34605927942463,AC,1.0,5.7610337404444525e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33110,5216,5211,0.08993023782569938,0.25919641806617205,1560.0,2.4718958684602814,AC,1.0,6.392295183044159e-06,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33111,610,602,1.191990118,3.4355457400000002,1040.0,21.817226397407072,AC,1.0,3.679118646740439e-06,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33112,11872,11869,0.257076042,2.307512,3580.0,18.316141808473688,AC,1.0,3.9799945719249274e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33113,39347,35387,0.837140589,7.514150742,3580.0,59.74689532097423,AC,1.0,8.936811294958737e-06,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33114,39331,34980,0.7158300867190637,6.425275629957874,3580.0,52.76200900874245,AC,1.0,3.781578413568494e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33115,12024,12025,0.2745662032,2.464500792,1790.0,9.779509157224396,AC,1.0,1.0765083129402863e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33116,35228,610,1.333662726,3.8438795999999993,1040.0,24.414843295756427,AC,1.0,2.3500614298016874e-06,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33117,1145,39223,0.858847158,7.70899616,3580.0,61.223104321010595,AC,1.0,5.68222388050611e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
