old_bus,new_bus,v_nom,reason
127,DELETED,380,degree2_elimination
130,DELETED,380,degree2_elimination
157,DELETED,380,degree2_elimination
162,DELETED,380,degree2_elimination
340,DELETED,220,degree2_elimination
343,DELETED,220,degree2_elimination
564,DELETED,220,degree2_elimination
568,DELETED,220,degree2_elimination
578,DELETED,380,degree2_elimination
608,DELETED,220,degree2_elimination
609,DELETED,220,degree2_elimination
611,DELETED,220,degree2_elimination
620,DELETED,220,degree2_elimination
621,DELETED,220,degree2_elimination
628,DELETED,220,degree2_elimination
629,DELETED,220,degree2_elimination
630,DELETED,220,degree2_elimination
631,DELETED,220,degree2_elimination
633,DELETED,220,degree2_elimination
715,DELETED,380,degree2_elimination
716,DELETED,380,degree2_elimination
717,DELETED,380,degree2_elimination
719,DELETED,380,degree2_elimination
720,DELETED,380,degree2_elimination
754,DELETED,380,degree2_elimination
758,DELETED,380,degree2_elimination
884,DELETED,380,degree2_elimination
1146,DELETED,380,degree2_elimination
1147,DELETED,380,degree2_elimination
1252,DELETED,380,degree2_elimination
1257,DELETED,380,degree2_elimination
1266,DELETED,380,degree2_elimination
1555,DELETED,220,degree2_elimination
1593,DELETED,380,degree2_elimination
1687,DELETED,380,degree2_elimination
1688,DELETED,380,degree2_elimination
1927,DELETED,220,degree2_elimination
2080,DELETED,380,degree2_elimination
2499,DELETED,380,degree2_elimination
2708,DELETED,380,degree2_elimination
2752,DELETED,220,degree2_elimination
2856,DELETED,380,degree2_elimination
2894,DELETED,220,degree2_elimination
3267,DELETED,220,degree2_elimination
3269,DELETED,220,degree2_elimination
3415,DELETED,380,degree2_elimination
3819,DELETED,220,degree2_elimination
3825,DELETED,220,degree2_elimination
4034,DELETED,380,degree2_elimination
4215,DELETED,220,degree2_elimination
4216,DELETED,220,degree2_elimination
4232,DELETED,380,degree2_elimination
4276,DELETED,220,degree2_elimination
4497,DELETED,380,degree2_elimination
4498,DELETED,380,degree2_elimination
4627,DELETED,380,degree2_elimination
4707,DELETED,380,degree2_elimination
4709,DELETED,380,degree2_elimination
5215,DELETED,220,degree2_elimination
5370,DELETED,380,degree2_elimination
6979,DELETED,380,degree2_elimination
7969,DELETED,380,degree2_elimination
8150,DELETED,220,degree2_elimination
8332,DELETED,380,degree2_elimination
8336,DELETED,380,degree2_elimination
8362,DELETED,380,degree2_elimination
8517,DELETED,220,degree2_elimination
8717,DELETED,380,degree2_elimination
8972,DELETED,220,degree2_elimination
9114,DELETED,380,degree2_elimination
9153,DELETED,220,degree2_elimination
9917,DELETED,380,degree2_elimination
10147,DELETED,380,degree2_elimination
10547,DELETED,220,degree2_elimination
10702,DELETED,220,degree2_elimination
11233,DELETED,380,degree2_elimination
11347,DELETED,380,degree2_elimination
11350,DELETED,380,degree2_elimination
11871,DELETED,380,degree2_elimination
11973,DELETED,380,degree2_elimination
11974,DELETED,380,degree2_elimination
11978,DELETED,380,degree2_elimination
11979,DELETED,380,degree2_elimination
11999,DELETED,220,degree2_elimination
12049,DELETED,220,degree2_elimination
12186,DELETED,380,degree2_elimination
12269,DELETED,220,degree2_elimination
12271,DELETED,220,degree2_elimination
12308,DELETED,220,degree2_elimination
12332,DELETED,380,degree2_elimination
12342,DELETED,380,degree2_elimination
12606,DELETED,380,degree2_elimination
12611,DELETED,380,degree2_elimination
13137,DELETED,380,degree2_elimination
13818,DELETED,220,degree2_elimination
13864,DELETED,380,degree2_elimination
14202,DELETED,380,degree2_elimination
14244,DELETED,380,degree2_elimination
14293,DELETED,380,degree2_elimination
14360,DELETED,220,degree2_elimination
14508,DELETED,380,degree2_elimination
14567,DELETED,380,degree2_elimination
14673,DELETED,380,degree2_elimination
14734,DELETED,380,degree2_elimination
14746,DELETED,380,degree2_elimination
14790,DELETED,380,degree2_elimination
14791,DELETED,380,degree2_elimination
15068,DELETED,220,degree2_elimination
15201,DELETED,220,degree2_elimination
15202,DELETED,220,degree2_elimination
15231,DELETED,380,degree2_elimination
15306,DELETED,380,degree2_elimination
15307,DELETED,380,degree2_elimination
15322,DELETED,380,degree2_elimination
16221,DELETED,380,degree2_elimination
16476,DELETED,380,degree2_elimination
16993,DELETED,380,degree2_elimination
16994,DELETED,380,degree2_elimination
17888,DELETED,380,degree2_elimination
17889,DELETED,380,degree2_elimination
17892,DELETED,380,degree2_elimination
17893,DELETED,380,degree2_elimination
17894,DELETED,380,degree2_elimination
17897,DELETED,380,degree2_elimination
17898,DELETED,380,degree2_elimination
17899,DELETED,380,degree2_elimination
17953,DELETED,380,degree2_elimination
17954,DELETED,380,degree2_elimination
17961,DELETED,380,degree2_elimination
17964,DELETED,380,degree2_elimination
17965,DELETED,380,degree2_elimination
17966,DELETED,380,degree2_elimination
18218,DELETED,380,degree2_elimination
18223,DELETED,380,degree2_elimination
18228,DELETED,380,degree2_elimination
18229,DELETED,380,degree2_elimination
18231,DELETED,380,degree2_elimination
18233,DELETED,380,degree2_elimination
18372,DELETED,380,degree2_elimination
19030,DELETED,380,degree2_elimination
19031,DELETED,380,degree2_elimination
19486,DELETED,220,degree2_elimination
19544,DELETED,380,degree2_elimination
19643,DELETED,380,degree2_elimination
20230,DELETED,380,degree2_elimination
20233,DELETED,380,degree2_elimination
20234,DELETED,380,degree2_elimination
20236,DELETED,380,degree2_elimination
20243,DELETED,380,degree2_elimination
21822,DELETED,380,degree2_elimination
21989,DELETED,380,degree2_elimination
22300,DELETED,380,degree2_elimination
22483,DELETED,380,degree2_elimination
22658,DELETED,380,degree2_elimination
34452,DELETED,220,degree2_elimination
39740,DELETED,220,degree2_elimination
39844,DELETED,380,degree2_elimination
39874,DELETED,380,degree2_elimination
39882,DELETED,380,degree2_elimination
39888,DELETED,380,degree2_elimination
39900,DELETED,220,degree2_elimination
39915,DELETED,380,degree2_elimination
39937,DELETED,220,degree2_elimination
39943,DELETED,220,degree2_elimination
39968,DELETED,220,degree2_elimination
39982,DELETED,380,degree2_elimination
39989,DELETED,380,degree2_elimination
39992,DELETED,380,degree2_elimination
