bus_id,carrier,n_units,is_aggregated,p_nom_mw,component
3.0,biogas,1,True,0.24187999999999998,generator
3.0,solar,1603,True,14.32424,generator
4.0,biogas,1,True,0.401,generator
4.0,solar,757,True,10.4108725,generator
5.0,biogas,1,True,0.0885,generator
5.0,run_of_river,1,False,0.08,generator
5.0,solar,657,True,8.030734,generator
6.0,biogas,1,True,0.401,generator
6.0,solar,756,True,10.4108725,generator
7.0,biogas,0,True,0.401,generator
7.0,oil,1,False,1.125,generator
7.0,solar,756,True,10.4108725,generator
12.0,coal,1,False,472.0,generator
20.0,biogas,1,True,0.1538030303030303,generator
20.0,biomass,1,True,0.004242424242424243,generator
20.0,onwind,1,False,2.3,generator
20.0,solar,540,True,5.121763666666666,generator
21.0,biogas,1,True,0.1538030303030303,generator
21.0,biomass,0,True,0.004242424242424243,generator
21.0,solar,540,True,5.121763666666666,generator
23.0,biogas,1,True,0.1538030303030303,generator
23.0,biomass,0,True,0.004242424242424243,generator
23.0,solar,540,True,5.121763666666666,generator
29.0,biogas,2,True,0.18335,generator
29.0,biomass,1,True,0.0055,generator
29.0,solar,888,True,10.1366065,generator
34.0,biogas,4,True,0.7600000000000001,generator
34.0,biomass,1,True,0.02266666666666667,generator
34.0,run_of_river,3,False,0.756,generator
34.0,solar,306,True,10.278976,generator
35.0,biogas,1,True,0.37,generator
35.0,solar,379,True,6.12793975,generator
38.0,biogas,5,True,1.8195000000000001,generator
38.0,onwind,2,False,6.1,generator
38.0,solar,1732,True,34.189473,generator
39.0,biogas,7,True,2.365,generator
39.0,solar,882,True,15.32241475,generator
45.0,gas,1,False,1.523,generator
45.0,oil,6,False,10.42,generator
45.0,solar,518,True,5.5770250500000005,generator
46.0,solar,518,True,5.5770250500000005,generator
50.0,biogas,1,True,0.0125,generator
50.0,biomass,1,True,0.001325,generator
50.0,solar,659,True,9.06404125,generator
51.0,biogas,3,True,0.9972166666666666,generator
51.0,gas,1,False,1.283,generator
51.0,oil,2,False,5.699999999999999,generator
51.0,onwind,6,False,8.4,generator
51.0,solar,290,True,19.100138666666666,generator
58.0,solar,276,True,10.322334999999999,generator
62.0,onwind,21,False,30.85,generator
62.0,run_of_river,1,False,0.085,generator
62.0,solar,481,True,13.347459,generator
63.0,biogas,3,True,1.2295,generator
