jao_osm_id,cluster_id,cluster_name,cluster_osm_id,confidence,tier,distance_km,method,cluster_degree,cluster_voltages
941453716,osm_941453716,Umspannwerk Siedenbrünzow,941453716,1.0,0,0.0,osm_id,4,[380.0]
22973052,osm_22973052,Umspannwerk Wuhlheide,22973052,1.0,0,0.0,osm_id,4,[220.0]
948341123,osm_948341123,Umspannwerk Eisenach,948341123,1.0,0,0.0,osm_id,3,[380.0]
59026005,osm_59026005,Umspannwerk Hagenwerder,59026005,1.0,0,0.0,osm_id,4,[380.0]
23583867,osm_23583867,Hamburg/Ost,23583867,1.0,0,0.0,osm_id,3,[380.0]
170123812,osm_170123812,Umspannwerk Vierraden,170123812,1.0,0,0.0,osm_id,4,"[220.0, 380.0]"
940636813,osm_940636813,Umspannwerk Malchow,940636813,1.0,0,0.0,osm_id,1,[380.0]
517421342,osm_517421342,Umspannwerk Parchim Süd,517421342,1.0,0,0.0,osm_id,3,[220.0]
30132758,osm_30132758,Umspannwerk Teufelsbruch,30132758,1.0,0,0.0,osm_id,4,[380.0]
460134233,osm_460134233,Umspannwerk Lubmin,460134233,1.0,0,0.0,osm_id,9,"[220.0, 380.0]"
27149550,osm_27149550,Umspannwerk Wustermark,27149550,1.0,0,0.0,osm_id,10,"[220.0, 380.0]"
943444232,osm_1222597065,Umspannwerk Pasewalk,1222597065,0.851,1,0.135,spatial_0.5km,4,[220.0]
28729619,osm_28729619,UW Schönewalde,28729619,1.0,0,0.0,osm_id,4,[380.0]
30039908,osm_30039908,Umspannwerk Bertikow,30039908,1.0,0,0.0,osm_id,5,"[220.0, 380.0]"
1691982892,spatial_12587,,,0.9,1,0.0,spatial_0.5km,6,[380.0]
26472665,osm_26472665,Umspannwerk Wolmirstedt,26472665,1.0,0,0.0,osm_id,10,"[220.0, 380.0]"
518455594,osm_518455594,Umspannwerk Gransee,518455594,1.0,0,0.0,osm_id,3,[380.0]
128277645,osm_128277645,Umspannwerk Remptendorf,128277645,1.0,0,0.0,osm_id,6,"[220.0, 380.0]"
30164703,osm_30164703,Umspannwerk Graustein,30164703,1.0,0,0.0,osm_id,6,[380.0]
157328339,osm_157328339,Umspannwerk Streumen,157328339,1.0,0,0.0,osm_id,10,[380.0]
22973070,osm_22973070,Umspannwerk Marzahn,22973070,1.0,0,0.0,osm_id,5,"[220.0, 380.0]"
59707532,osm_59707532,Umspannwerk Perleberg,59707532,1.0,0,0.0,osm_id,1,[380.0]
941198517,osm_941198517,Umspannwerk Preilack,941198517,1.0,0,0.0,osm_id,10,[380.0]
143882655,osm_143882655,Umspannwerk Vieselbach,143882655,1.0,0,0.0,osm_id,9,"[220.0, 380.0]"
149256409,osm_149256409,Umspannwerk Altenfeld,149256409,1.0,0,0.0,osm_id,5,[380.0]
30622610,osm_30622610,Umspannwerk Kernkraftwerk Brunsbüttel,30622610,1.0,0,0.0,osm_id,6,"[220.0, 380.0]"
942771541,osm_942771541,Umspannwerk Dresden Süd,942771541,1.0,0,0.0,osm_id,4,[380.0]
32062544,osm_32062544,Umspannwerk Güstrow,32062544,1.0,0,0.0,osm_id,8,"[220.0, 380.0]"
32318130,osm_32318130,Bentwisch,32318130,0.8,0,0.0,osm_id_voltage_mismatch,4,[220.0]
29331499,osm_29331499,Umspannwerk Thyrow,29331499,1.0,0,0.0,osm_id,5,"[220.0, 380.0]"
157806991,osm_157806991,Schaltwerk Bärwalde,157806991,1.0,0,0.0,osm_id,8,[380.0]
52983550,osm_52983550,Eisenhüttenstadt,52983550,1.0,0,0.0,osm_id,2,[380.0]
1731698972,osm_414169327,Umspannwerk Heinersdorf,414169327,0.826,1,0.206,spatial_0.5km,4,[380.0]
157164284,osm_157164284,Wolkramshausen,157164284,1.0,0,0.0,osm_id,2,[220.0]
137197826,osm_137197826,Umspannwerk Neuenhagen,137197826,1.0,0,0.0,osm_id,5,"[220.0, 380.0]"
22720647,osm_22720647,Hamburg Nord,22720647,1.0,0,0.0,osm_id,6,"[220.0, 380.0]"
947118608,osm_947118608,Umspannwerk Altentreptow Süd,947118608,1.0,0,0.0,osm_id,4,[380.0]
398680313,osm_398680313,Jessen Nord (Schweinitz) 380 kV,398680313,1.0,0,0.0,osm_id,6,[380.0]
943939310,osm_943939310,Förderstedt 380 kV,943939310,1.0,0,0.0,osm_id,2,[380.0]
234171369,osm_234171369,Umspannwerk Wessin,234171369,1.0,0,0.0,osm_id,4,[380.0]
109917397,osm_109917397,Umspannwerk Freiberg Nord,109917397,1.0,0,0.0,osm_id,4,[380.0]
32690742,osm_32690742,Umspannwerk Klostermansfeld,32690742,1.0,0,0.0,osm_id,4,[380.0]
46615737,osm_46615737,Umspannwerk Charlottenburg,46615737,1.0,0,0.0,osm_id,4,[380.0]
30954714,osm_30954714,Umspannwerk Friedrichshain,30954714,1.0,0,0.0,osm_id,5,[380.0]
43163132,osm_43163132,Umspannwerk Reuter,43163132,1.0,0,0.0,osm_id,6,[380.0]
