jao_name,jao_eic,egon_line_id,jao_r,jao_x,jao_b,jao_s_nom,jao_length_km,jao_v_nom,new_r,new_x,new_b,new_s_nom,path_hops,length_ratio,length_warning,imax_a
Eula - Weida 208,11TD8L208------9,23048.0,5.0537,19.541,0.0002642393580934,235.4,67.55,220,0.022494,0.086975,1.18e-06,407.7,3,0.986,,1070.0
Eula - Weida 208,11TD8L208------9,5818.0,5.0537,19.541,0.0002642393580934,235.4,67.55,220,0.774085,2.993132,4.047e-05,407.7,3,0.986,,1070.0
Eula - Weida 208,11TD8L208------9,6250.0,5.0537,19.541,0.0002642393580934,235.4,67.55,220,4.257122,16.460892,0.00022259,407.7,3,0.986,,1070.0
Bentwisch - Güstrow 275,11TD8L275------7,4778.0,1.909,12.055,0.0001580849423286,264.0,41.418,220,1.878957,11.865282,0.0001556,457.3,3,1.003,,1200.0
Lüdershagen - Güstrow 317-276,11TD8L317-276--N,15243.0,6.59,31.384,0.0004044486382231,264.0,106.538,220,2.535285,12.073958,0.0001556,457.3,4,0.998,,1200.0
Bentwisch - Güstrow 275,11TD8L275------7,4777.0,1.909,12.055,0.0001580849423286,264.0,41.418,220,0.012772,0.080655,1.06e-06,457.3,3,1.003,,1200.0
Lüdershagen - Güstrow 317-276,11TD8L317-276--N,6405.0,6.59,31.384,0.0004044486382231,264.0,106.538,220,0.017646,0.084038,1.08e-06,457.3,4,0.998,,1200.0
Bentwisch - Güstrow 275,11TD8L275------7,49.0,1.909,12.055,0.0001580849423286,264.0,41.418,220,0.017271,0.109063,1.43e-06,457.3,3,1.003,,1200.0
Lüdershagen - Güstrow 317-276,11TD8L317-276--N,13000.0,6.59,31.384,0.0004044486382231,264.0,106.538,220,0.022821,0.10868,1.4e-06,457.3,4,0.998,,1200.0
Wuhlheide - Thyrow 291,11TD8L291------L,3510.0,2.9672,11.191,0.000266784,211.2,38.882,220,0.500683,1.88836,4.502e-05,365.8,2,0.955,,960.0
Wuhlheide (Abzweig) - Thyrow 302/2,11TD8L302------A,11499.0,2.9672,11.191,0.0001531212259359,211.2,38.882,220,0.500683,1.88836,2.584e-05,365.8,2,0.955,,960.0
Wuhlheide - Thyrow 291,11TD8L291------L,33222.0,2.9672,11.191,0.000266784,211.2,38.882,220,2.466517,9.30264,0.00022177,365.8,2,0.955,,960.0
Hennigsdorf - Wustermark 295,11TD8L295------Q,3547.0,0.548,6.85,0.0001291194580625,235.4,27.4,220,0.047488,0.593598,1.119e-05,407.7,3,1.003,,1070.0
Hennigsdorf - Wustermark 295,11TD8L295------Q,33232.0,0.548,6.85,0.0001291194580625,235.4,27.4,220,0.493061,6.163257,0.00011617,407.7,3,1.003,,1070.0
Hennigsdorf - Wustermark 295,11TD8L295------Q,3543.0,0.548,6.85,0.0001291194580625,235.4,27.4,220,0.007452,0.093145,1.76e-06,407.7,3,1.003,,1070.0
Marzahn - Wuhlheide 301,11TD8L301------I,3605.0,0.5487,2.4908,3.707079331235955e-05,235.4,9.111,220,0.306522,1.391443,2.071e-05,407.7,2,0.98,,1070.0
Marzahn - Wuhlheide(Abzweig) 302/1,11TD8L302------A,11600.0,0.545,2.4772,3.707079331235955e-05,211.2,9.111,220,0.304455,1.383846,2.071e-05,365.8,2,0.98,,960.0
Marzahn - Wuhlheide 301,11TD8L301------I,11602.0,0.5487,2.4908,3.707079331235955e-05,235.4,9.111,220,0.242178,1.099357,1.636e-05,407.7,2,0.98,,1070.0
Vierraden - Pasewalk 306,11TD8L306------F,4190.0,4.9243,18.121,0.0002309070600388,235.4,61.885,220,2.314781,8.518195,0.00010854,407.7,4,1.003,,1070.0
