egon_trafo_id,r,x,phase_shift
31305.0,0.003275,0.297655,
30897.0,0.002888,0.262493,
31044.0,0.003976,0.271119,
31187.0,0.002832,0.194159,
31090.0,0.001901,0.151905,
31162.0,0.003446,0.237439,
31057.0,0.001324,0.145073,
31312.0,0.000848,0.053976,
30916.0,0.003735,0.257334,
30987.0,0.005169,0.356158,
31125.0,0.001152,0.065914,-60.0
31098.0,0.00411,0.279467,
31051.0,0.00167,0.128759,
31285.0,0.000446,0.033407,
30853.0,0.000467,0.042545,
31251.0,0.000407,0.03709,
30866.0,0.000322,0.023199,
31088.0,0.000555,0.039929,
30993.0,0.000483,0.038053,
30979.0,0.001181,0.072058,-120.0
31200.0,0.000321,0.027718,60.0
30974.0,0.00047,0.035198,60.0
30926.0,0.000473,0.034059,
30843.0,0.000537,0.038667,
31261.0,0.001036,0.057475,-60.0
31345.0,0.000433,0.032414,
31003.0,0.000578,0.043273,60.0
30965.0,0.000414,0.03099,
31323.0,0.000439,0.035183,
31351.0,0.00194,0.149994,
31208.0,0.000372,0.033878,
31348.0,0.000336,0.025142,60.0
30923.0,0.000391,0.029332,-60.0
31343.0,0.000379,0.034529,
31127.0,0.000372,0.034332,
31227.0,0.003984,0.215531,
31023.0,0.000478,0.035837,
31223.0,0.000515,0.036271,-60.0
30862.0,0.00059,0.048723,0.0
31330.0,0.000336,0.025142,-60.0
31229.0,0.003433,0.264234,
31340.0,0.003433,0.264234,
31192.0,0.000391,0.029332,60.0
31012.0,0.000434,0.039569,
31175.0,0.000118,0.012067,-60.0
30869.0,0.000503,0.027967,0.0
30955.0,0.000548,0.04304,
31203.0,0.00072,0.065035,-60.0
31034.0,0.000336,0.025142,60.0
31148.0,0.000503,0.037713,60.0
30977.0,0.000441,0.03127,
31334.0,0.000372,0.033878,
30891.0,0.003832,0.175377,
31263.0,0.002064,0.198904,
31159.0,0.007544,0.608304,
31146.0,0.004905,0.302414,
31171.0,0.006387,0.292294,
31166.0,0.009281,0.424737,
31111.0,0.000967,0.045423,
31151.0,0.007209,0.324161,
31287.0,0.001985,0.158676,
31291.0,0.001324,0.144233,
30841.0,0.001866,0.137395,
31232.0,0.001637,0.148577,
30860.0,0.001996,0.142815,
30997.0,0.001941,0.149174,
31115.0,0.001593,0.117575,
30828.0,0.001511,0.154332,
31275.0,0.002161,0.16635,
31093.0,0.001234,0.057914,0.0
30899.0,0.000243,0.02433,0.0
30990.0,0.000449,0.044775,
