corridor,voltage_kv,template_line_id,egon_existing,jao_circuits,lines_added
osm_143882655_osm_149256409,380,33767.0,1,2,1
osm_143882655_osm_29713902,380,33949.0,1,2,1
osm_26472665_osm_33169401,380,33987.0,2,4,2
osm_137197826_osm_22973070,380,33177.0,1,2,1
osm_941805476_osm_942771541,380,16807.0,1,2,1
osm_157328339_osm_157806991,380,18131.0,1,2,1
osm_143882655_osm_442199284,380,33981.0,1,2,1
osm_30303506_osm_30954714,380,7597.0,1,2,1
osm_132814303_spatial_3260,220,33706.0,1,2,1
osm_152018146_osm_54359256,380,33138.0,1,2,1
osm_28452784_spatial_2341,220,873.0,2,3,1
osm_22761839_osm_27871140,220,33583.0,1,2,1
osm_132814303_spatial_11486,220,6588.0,1,2,1
osm_89043564_spatial_11486,220,31984.0,1,2,1
osm_90148336_spatial_11486,220,31982.0,1,2,1
osm_24921206_osm_37554416,220,34145.0,1,2,1
osm_151967290_osm_89176939,220,8437.0,1,2,1
osm_42488855_spatial_10424,380,33540.0,1,2,1
osm_22766160_osm_32148946,220,33884.0,1,2,1
osm_152973139_spatial_35136,380,15059.0,1,2,1
osm_27871140_osm_29374542,220,33822.0,1,2,1
osm_82310607_osm_89215122,220,34050.0,1,2,1
osm_22761839_osm_24839976,380,33641.0,1,2,1
osm_24839976_osm_26927264,380,34184.0,1,2,1
osm_23084417_osm_24462426,220,33713.0,1,2,1
osm_28452784_osm_66038431,220,33845.0,1,2,1
osm_23084554_osm_24839976,220,33546.0,1,2,1
osm_26593929_spatial_2495,380,33592.0,1,2,1
osm_26927264_spatial_2495,380,33593.0,1,2,1
osm_54359256_osm_82773910,380,32112.0,1,2,1
osm_37554416_spatial_5599,220,34008.0,1,2,1
osm_24414688_osm_42507488,220,34134.0,1,2,1
osm_35176751_osm_525964629,380,32114.0,1,2,1
osm_156673636_osm_156960655,380,33882.0,1,2,1
osm_1128250707_osm_50643382,220,33567.0,1,2,1
osm_1128250707_osm_177829920,380,33277.0,1,2,1
osm_1128250707_osm_637595524,220,34207.0,1,2,1
osm_25943440_osm_957746797,380,34160.0,1,2,1
osm_202747445_osm_24042358,380,34076.0,1,2,1
osm_108797675_osm_499165542,380,33723.0,1,3,2
osm_952004951_spatial_10705,220,33599.0,1,2,1
osm_24705761_osm_24768051,220,32216.0,1,2,1
osm_26245195_osm_77697810,380,7261.0,1,3,2
osm_24976300_osm_77697810,380,7453.0,1,2,1
osm_301158539_osm_449010725,380,33926.0,1,2,1
osm_24042358_osm_42410916,380,34111.0,1,2,1
osm_24413992_osm_27739871,380,33186.0,1,2,1
osm_24158385_osm_75865676,220,33612.0,1,2,1
osm_148446247_osm_29309786,380,33988.0,1,2,1
osm_274621059_osm_28227099,220,33856.0,1,2,1
osm_18629425_osm_24158385,220,33360.0,1,2,1
osm_289836713_osm_30622610,380,33712.0,1,2,1
osm_35176751_osm_907539360,380,34082.0,1,2,1
osm_24759324_osm_24768051,220,33951.0,1,2,1
osm_32076853_osm_829116805,380,33359.0,1,2,1
osm_41072584_spatial_669,380,33240.0,1,2,1
osm_1128250707_spatial_1361,220,33364.0,1,2,1
osm_11285720_osm_24502420,380,33977.0,1,2,1
osm_26472665_osm_26474759,380,34029.0,1,2,1
osm_149256409_osm_24757392,380,33110.0,1,2,1
osm_31131320_spatial_11085,380,6523.0,1,2,1
osm_152261133_osm_242756113,380,33254.0,1,2,1
osm_152261133_osm_48057110,380,33259.0,1,2,1
osm_26814283_osm_42736239,380,33480.0,1,2,1
osm_25557397_osm_43688805,380,33827.0,1,2,1
osm_88901626_osm_88916034,220,34102.0,1,2,1
