egon_line_id,eic_code,jao_name,jao_length_km,path_hops,length_ratio,egon_trafo_id
3547.0,11TD8L295------Q,Hennigsdorf - Wustermark 295,27.4,2.0,0.978,
33116.0,11TD8L295------Q,Hennigsdorf - Wustermark 295,27.4,2.0,0.978,
4190.0,11TD8L305------N,Bertikow - Pasewalk 305,29.471,1.0,0.99,
4660.0,11TD8L313------U,Lubmin - Lüdershagen 313,56.212,1.0,0.997,
14977.0,11TD8L314------M,Lubmin - Lüdershagen 314,56.212,1.0,0.997,
33170.0,11TD8L415------4,Vieselbach - Remptendorf - Großschwabhausen 415,77.547,1.0,0.995,
33157.0,11TD8L419------9,Krümmel - Görries 419,87.47,7.0,0.982,
7355.0,11TD8L419------9,Krümmel - Görries 419,87.47,7.0,0.982,
17246.0,11TD8L420------Z,Krümmel - Wessin 420,111.421,8.0,0.985,
33160.0,11TD8L419------9,Krümmel - Görries 419,87.47,7.0,0.982,
7352.0,11TD8L419------9,Krümmel - Görries 419,87.47,7.0,0.982,
17253.0,11TD8L420------Z,Krümmel - Wessin 420,111.421,8.0,0.985,
7339.0,11TD8L419------9,Krümmel - Görries 419,87.47,7.0,0.982,
17254.0,11TD8L420------Z,Krümmel - Wessin 420,111.421,8.0,0.985,
7343.0,11TD8L419------9,Krümmel - Görries 419,87.47,7.0,0.982,
17256.0,11TD8L420------Z,Krümmel - Wessin 420,111.421,8.0,0.985,
7344.0,11TD8L419------9,Krümmel - Görries 419,87.47,7.0,0.982,
17250.0,11TD8L420------Z,Krümmel - Wessin 420,111.421,8.0,0.985,
12815.0,11TD8L423------B,Görries - Güstrow 423,71.582,2.0,0.989,
13844.0,11TD8L420------Z,Krümmel - Wessin 420,111.421,8.0,0.985,
1115.0,11TD8L423------B,Görries - Güstrow 423,71.582,2.0,0.989,
12814.0,11TD8L424------3,Wessin - Güstrow 424,47.103,1.0,0.995,
16845.0,11TD8L437------7,Wolmirstedt - Förderstedt 437,48.545,2.0,0.993,
17320.0,11TD8L438-----0Y,Wolmirstedt - Förderstedt 438,48.545,2.0,0.993,
6872.0,11TD8L437------7,Wolmirstedt - Förderstedt 437,48.545,2.0,0.993,
16844.0,11TD8L438-----0Y,Wolmirstedt - Förderstedt 438,48.545,2.0,0.993,
16846.0,11TD8L531------8,Förderstedt - Ragow 531,179.426,5.0,0.993,
16847.0,11T0-0000-0042-6,Förderstedt - Jessen/Nord 533,117.5,3.0,0.995,
3700.0,11T-D2-D8-000302,Mecklar - Vieselbach 449,129.724,5.0,0.99,
11722.0,11TD8L454------D,Eisenach - Vieselbach 454,72.285,1.0,0.989,
7331.0,11TD8L463------C,Altenfeld - Remptendorf 463,50.254,1.0,0.991,
17236.0,11TD8L464------4,Altenfeld - Remptendorf 464,50.254,1.0,0.991,
33134.0,11TD8L467------H,Vieselbach - Altenfeld 467,56.081,3.0,0.977,
6884.0,11TD8L467------H,Vieselbach - Altenfeld 467,56.081,3.0,0.977,
16937.0,11TD8L468------9,Vieselbach - Altenfeld 468,56.081,3.0,0.977,
6881.0,11TD8L467------H,Vieselbach - Altenfeld 467,56.081,3.0,0.977,
16940.0,11TD8L468------9,Vieselbach - Altenfeld 468,56.081,3.0,0.977,
7591.0,11TD8L471------J,Lauchstädt - Vieselbach 471,78.069,2.0,0.984,
