trafo_id,r,x,source,phase_shift
31057.0,0.001273,0.139494,jao,
31125.0,0.000912,0.052167,jao,-60.0
31285.0,0.000457,0.034264,jao,
30853.0,0.000436,0.039772,jao,
31251.0,0.000391,0.035664,jao,
30993.0,0.000418,0.03293,jao,
30979.0,0.001104,0.067362,jao,-120.0
31200.0,0.000343,0.029613,jao,60.0
30974.0,0.00043,0.032233,jao,60.0
30926.0,0.00052,0.037427,jao,
30843.0,0.000465,0.033462,jao,
31345.0,0.000462,0.03463,jao,
31323.0,0.000458,0.036649,jao,
31127.0,0.000397,0.036679,jao,
31223.0,0.000496,0.034876,jao,-60.0
30862.0,0.000567,0.046849,jao,0.0
31192.0,0.00043,0.032233,jao,60.0
31012.0,0.000397,0.036235,jao,
31334.0,0.000381,0.034747,jao,
31159.0,0.004572,0.368669,jao,
31171.0,0.005068,0.332346,jao,
31336.0,0.007602,0.498519,jao,
31166.0,0.005949,0.272267,jao,
31111.0,0.00186,0.087352,jao,
31287.0,0.001693,0.135364,jao,
30860.0,0.001919,0.137322,jao,
30990.0,0.000432,0.043052,jao,
30827.0,0.003,0.12,default,
30829.0,0.003,0.12,default,
30831.0,0.003,0.12,default,
30832.0,0.003,0.12,default,
30836.0,0.003,0.12,default,
30838.0,0.003,0.12,default,
30840.0,0.003,0.12,default,
30842.0,0.003,0.12,default,
30845.0,0.003,0.12,default,
30847.0,0.003,0.12,default,
30849.0,0.003,0.12,default,
30850.0,0.003,0.12,default,
30852.0,0.003,0.12,default,
30855.0,0.003,0.12,default,
30856.0,0.003,0.12,default,
30857.0,0.003,0.12,default,
30859.0,0.003,0.12,default,
30861.0,0.003,0.12,default,
30864.0,0.003,0.12,default,
30865.0,0.003,0.12,default,
30868.0,0.003,0.12,default,
30871.0,0.003,0.12,default,
30873.0,0.003,0.12,default,
30874.0,0.003,0.12,default,
30875.0,0.003,0.12,default,
30876.0,0.003,0.12,default,
30878.0,0.003,0.12,default,
30879.0,0.003,0.12,default,
30880.0,0.003,0.12,default,
30881.0,0.003,0.12,default,
30884.0,0.003,0.12,default,
30885.0,0.003,0.12,default,
