cluster_0,cluster_1,name_0,name_1,voltage_kv,egon_segments,egon_max_cables,egon_circuits,jao_single_hop,jao_multi_hop,jao_total_traversals,diff_vs_single,diff_vs_total,egon_length_km,cables_detail,sh_names,mh_names
osm_102743264,spatial_9397,Beuren,spatial_9397,220.0,2,3,1,0,2,2,,-1.0,19.5,"[3, 3]",,Beuren - Gurtweil ge; Beuren - Stockach bl
osm_106096507,osm_87767098,Station Ohligs,Station Mettmann,380.0,1,3,1,1,1,2,0.0,-1.0,9.4,[3],Y-Mettmann (-Ohligs - St Peter) OERKHS W,Y-Eiberg (-Ohligs - Opladen) OERKHS O
osm_106096507,spatial_2529,Station Ohligs,spatial_2529,380.0,1,3,1,0,2,2,,-1.0,7.5,[3],,Y-Opladen (-Eiberg - Ohligs) OERKHS O ; Y-St Peter (-Ohligs - Mettmann) OERKHS W
osm_1068350839,osm_157328339,Umspannwerk Altdöbern,Umspannwerk Streumen,380.0,2,3,1,0,2,2,,-1.0,140.3,"[3, 3]",,Preilack - Streumen 559; Preilack - Streumen 560
osm_1068350839,osm_941198517,Umspannwerk Altdöbern,Umspannwerk Preilack,380.0,2,3,1,0,2,2,,-1.0,100.1,"[3, 3]",,Preilack - Streumen 559; Preilack - Streumen 560
osm_1071504343,spatial_39873,UW Husum Nord,spatial_39873,380.0,1,6,2,0,0,0,,,21.9,[6],,
osm_1071504343,spatial_40376,UW Husum Nord,spatial_40376,380.0,1,6,2,0,2,2,,0.0,2.0,[6],,Heide/W - Husum/N weiss; Heide/W - Husum/N schwarz
osm_1076001174,osm_425101435,Emscherbruch,NA,220.0,1,3,1,0,0,0,,,2.0,[3],,
osm_1076001174,spatial_1812,Emscherbruch,spatial_1812,380.0,2,3,1,0,2,2,,-1.0,2.1,"[3, 3]",,Emscherbruch - Mengede RECKLI N ; Y-Mengede (-Huellen - Kusenhorst) WESTFL W 
osm_1076001174,spatial_1815,Emscherbruch,spatial_1815,380.0,2,3,1,0,2,2,,-1.0,4.5,"[3, 3]",,Emscherbruch - Kusenhorst WEHOLT O ; Y-Mengede (-Huellen - Kusenhorst) WESTFL W 
osm_1076001174,spatial_2913,Emscherbruch,spatial_2913,220.0,2,3,1,0,0,0,,,3.2,"[3, 3]",,
osm_1076001174,spatial_35401,Emscherbruch,spatial_35401,220.0,1,3,1,0,0,0,,,1.0,[3],,
osm_1076001174,spatial_35402,Emscherbruch,spatial_35402,380.0,1,3,1,0,0,0,,,1.0,[3],,
osm_1081302145,spatial_39245,Umspannwerk Niederwiesa,spatial_39245,220.0,2,3,1,0,0,0,,,35.6,"[3, 3]",,
osm_108797675,osm_24715381,Grafenrheinfeld,Umspannwerk Bergrheinfeld,380.0,2,3,1,0,0,0,,,4.5,"[3, 3]",,
osm_108797675,osm_499165542,Grafenrheinfeld,Umspannwerk Bergrheinfeld/West,380.0,1,3,1,3,0,3,-2.0,-2.0,2.8,[3],Bergrheinfeld/W - Grafenrheinfeld 427; Bergrheinfeld/W - Grafenrheinfeld 487; Bergrheinfeld/W - Grafenrheinfeld 426,
osm_108797675,spatial_12169,Grafenrheinfeld,spatial_12169,380.0,2,3,1,0,3,3,,-2.0,7.1,"[3, 3]",,Grafenrheinfeld - Oberhaid 423; Grafenrheinfeld - Raitersaich 434; Eltmann - Grafenrheinfeld 422
osm_108797675,spatial_12188,Grafenrheinfeld,spatial_12188,380.0,1,3,1,0,2,2,,-1.0,49.8,[3],,Grafenrheinfeld - Hoepfingen ge (411); Grafenrheinfeld - Stalldorf rt (416)
osm_1089911133,osm_23583867,Schaltwerk Krümmel (50 Hertz),Hamburg/Ost,380.0,1,3,1,0,2,2,,-1.0,28.1,[3],,Krümmel - Hamburg/Süd 991-972; Hamburg/Ost - Krümmel 992
osm_1089911133,osm_30040568,Schaltwerk Krümmel (50 Hertz),Umspannwerk Görries,380.0,1,3,1,0,2,2,,-1.0,86.1,[3],,Krümmel - Görries 419; Krümmel - Wessin 420
osm_1089911133,osm_700393479,Schaltwerk Krümmel (50 Hertz),NA,380.0,2,3,1,0,0,0,,,0.9,"[3, 3]",,
osm_1089911133,spatial_39249,Schaltwerk Krümmel (50 Hertz),spatial_39249,380.0,2,3,1,0,4,4,,-3.0,0.7,"[3, 3]",,Krümmel - Görries 419; Krümmel - Wessin 420; Krümmel - Hamburg/Süd 991-972; Hamburg/Ost - Krümmel 992
osm_1093896544,osm_31105067,Kabelüberführungsstation Leipheim,Umspannwerk Niederstotzingen,380.0,1,3,1,0,0,0,,,12.5,[3],,
osm_1093896544,spatial_7606,Kabelüberführungsstation Leipheim,spatial_7606,380.0,1,3,1,0,2,2,,-1.0,23.4,[3],,Gundelfingen - Voehringen GUENZ N ; Gundelfingen - Voehringen GUENZ S 
