carrier,bus,gen_id,annual_dp_up_MWh,annual_dp_dn_MWh
import_AT,342,1,0.0,-0.0
import_AT,5693,2,0.0,-0.0
import_AT,10391,3,0.0,-0.0
import_AT,11085,4,0.0,-0.0
import_AT,11807,5,0.0,-0.0
import_AT,12097,6,0.0,46.552197
import_AT,12561,7,29013.986,-0.0
import_AT,13586,8,12236.615,-0.0
import_AT,14605,9,141.56403,6.614975
import_AT,26112,10,124.27238,1742.604
import_AT,26121,11,0.0,1863.181
import_AT,26502,12,136.53558,837.247
import_AT,31381,13,49.449123,3412.009
import_AT,33050,14,0.0,19.565956
import_AT,33055,15,0.0,158.41443
import_AT,33083,16,0.0,-0.0
import_AT,33126,17,339.62347,3250.1006
import_AT,33135,18,0.0,1645.2239
import_AT,33515,19,0.0,4756.0264
import_AT,34037,20,0.0,-0.0
import_AT,34194,21,0.0,-0.0
import_CH,11870,22,7211.9673,-0.0
import_CH,14024,23,0.0,-0.0
import_CH,14438,24,0.0,-0.0
import_CH,15417,25,0.0,-0.0
import_CH,15961,26,0.0,-0.0
import_CH,20277,27,0.0,-0.0
import_CH,24323,28,0.0,-0.0
import_CH,24594,29,0.0,-0.0
import_CH,31016,30,0.0,-0.0
import_CZ,1691,31,0.0,-0.0
import_CZ,12666,32,0.0,24.411238
import_DK,12682,33,14115.087,-0.0
import_DK,15951,34,0.0,2306.9927
import_DK,22526,35,20761.434,-0.0
import_DK,200200,36,0.0,-0.0
import_FR,11872,37,44833.543,-0.0
import_FR,13012,38,62116.473,-0.0
import_FR,13179,39,14721.972,-0.0
import_FR,14059,40,3625.4756,-0.0
import_FR,14745,41,51078.43,-0.0
import_FR,33081,42,10756.745,-0.0
import_FR,33085,43,11393.97,-0.0
import_LU,8610,44,0.0,-0.0
import_LU,12250,45,0.0,-0.0
import_LU,12900,46,0.0,-0.0
import_LU,12952,47,0.0,-0.0
import_NL,662,48,0.0,-0.0
import_NL,7680,49,0.0,-0.0
import_NL,8718,50,0.0,-0.0
import_NL,19032,51,0.0,-0.0
import_PL,5283,52,104.43519,25.840672
import_PL,33180,53,0.0,2.2900057
import_NO,200002,54,0.0,-0.0
import_SE,200003,55,0.0,-0.0
import_BE,200001,56,0.0,-0.0
waste,242,270,0.0,-0.0
waste,978,624,0.0,-0.0
waste,1581,804,0.0,-0.0
waste,3188,1677,0.0,-0.0
waste,4436,1984,0.0,-0.0
waste,5188,2115,0.0,-0.0
waste,7869,2959,0.0,-0.0
waste,8747,3239,0.0,-0.0
waste,9021,3320,0.0,-0.0
waste,9682,3499,0.0,-0.0
waste,11101,4047,0.0,-0.0
waste,12696,4382,0.0,-0.0
waste,15535,5048,0.0,-0.0
waste,16158,5228,0.0,-0.0
waste,17069,5513,0.0,-0.0
waste,17099,5530,0.0,-0.0
waste,17995,5767,0.0,-0.0
waste,19126,6070,0.0,-0.0
waste,19637,6218,0.0,-0.0
waste,20066,6422,0.0,-0.0
waste,23493,6769,0.0,-0.0
waste,24221,7084,0.0,-0.0
waste,24290,7123,0.0,-0.0
waste,24638,7354,0.0,-0.0
waste,24974,7580,0.0,-0.0
waste,25664,8087,0.0,-0.0
waste,25753,8181,0.0,-0.0
waste,25877,8266,0.0,-0.0
waste,27269,8884,0.0,-0.0
waste,28493,9325,0.0,-0.0
waste,30291,10085,0.0,-0.0
waste,30757,10268,0.0,-0.0
waste,31019,10391,0.0,-0.0
waste,31225,10442,0.0,-0.0
waste,32650,10774,0.0,-0.0
waste,33370,11073,0.0,-0.0
waste,34845,11393,0.0,-0.0
waste,34870,11429,0.0,-0.0
waste,35046,11608,0.0,-0.0
waste,35367,12041,0.0,-0.0
waste,35369,12046,0.0,-0.0
waste,35515,12187,0.0,-0.0
waste,35733,12508,0.0,-0.0
waste,35811,12612,0.0,-0.0
waste,35873,12703,0.0,-0.0
waste,36186,13120,0.0,-0.0
waste,36284,13313,0.0,-0.0
waste,36692,13905,0.0,-0.0
waste,36706,13933,0.0,-0.0
waste,36728,13960,0.0,-0.0
waste,36768,14022,0.0,-0.0
waste,37085,14436,0.0,-0.0
waste,37147,14525,0.0,-0.0
waste,37155,14540,0.0,-0.0
waste,37290,14768,0.0,-0.0
waste,37746,15402,0.0,-0.0
waste,37806,15485,0.0,-0.0
waste,37955,15676,0.0,-0.0
waste,37957,15683,0.0,-0.0
waste,38199,16027,0.0,-0.0
waste,38215,16065,0.0,-0.0
waste,38284,16178,0.0,-0.0
waste,38311,16212,0.0,-0.0
waste,38438,16346,0.0,-0.0
waste,38795,16779,0.0,-0.0
waste,38841,16854,0.0,-0.0
waste,38991,17012,0.0,-0.0
waste,39176,17139,0.0,-0.0
waste,39404,17294,0.0,-0.0
waste,40123,18203,0.0,-0.0
waste,40124,18206,0.0,-0.0
waste,40184,18317,0.0,-0.0
waste,40269,18538,0.0,-0.0
offwind,200104,18827,0.0,-0.0
offwind,200105,18828,0.0,-0.0
offwind,200107,18829,0.0,-0.0
offwind,200108,18830,0.0,-0.0
offwind,200109,18831,0.0,-0.0
offwind,200110,18832,0.0,-0.0
offwind,200111,18833,0.0,-0.0
offwind,200112,18834,0.0,-0.0
offwind,200113,18835,0.0,-0.0
onwind,20,115,0.0,-0.0
onwind,38,133,0.0,-0.0
onwind,51,147,0.0,-0.0
onwind,62,150,0.0,-0.0
onwind,63,154,0.0,-0.0
onwind,67,161,0.0,-0.0
onwind,74,166,0.0,-0.0
onwind,98,185,0.0,-0.0
onwind,101,190,0.0,-0.0
onwind,136,198,0.0,-0.0
onwind,173,218,0.0,-0.0
onwind,199,224,0.0,-0.0
onwind,214,238,0.0,-0.0
onwind,226,245,0.0,-0.0
onwind,231,250,0.0,-0.0
onwind,234,256,0.0,-0.0
onwind,246,275,0.0,-0.0
onwind,248,281,0.0,-0.0
onwind,251,284,0.0,-0.0
onwind,253,287,0.0,-0.0
onwind,263,305,0.0,-0.0
onwind,293,323,0.0,-0.0
onwind,298,327,0.0,-0.0
onwind,354,339,0.0,-0.0
onwind,371,349,0.0,-0.0
onwind,372,352,0.0,-0.0
onwind,375,356,0.0,-0.0
onwind,376,359,0.0,-0.0
onwind,441,378,0.0,-0.0
onwind,445,386,0.0,-0.0
onwind,468,390,0.0,-0.0
onwind,470,395,0.0,-0.0
onwind,471,399,0.0,-0.0
onwind,478,401,0.0,-0.0
onwind,491,406,0.0,-0.0
onwind,492,409,0.0,-0.0
onwind,493,412,0.0,-0.0
onwind,494,415,0.0,-0.0
onwind,495,418,0.0,-0.0
onwind,533,425,0.0,-0.0
onwind,535,431,0.0,-0.0
onwind,538,435,0.0,-0.0
onwind,543,440,0.0,-0.0
onwind,545,443,0.0,-0.0
onwind,548,450,0.0,-0.0
onwind,551,455,0.0,-0.0
onwind,592,460,0.0,-0.0
onwind,619,468,0.0,-0.0
onwind,648,472,0.0,-0.0
onwind,672,479,0.0,-0.0
onwind,673,483,0.0,-0.0
onwind,675,487,0.0,-0.0
onwind,677,494,0.0,-0.0
onwind,678,498,0.0,-0.0
onwind,685,504,0.0,-0.0
onwind,687,508,0.0,-0.0
onwind,688,511,0.0,-0.0
onwind,707,518,0.0,-0.0
onwind,709,521,0.0,-0.0
onwind,746,527,0.0,-0.0
onwind,767,533,0.0,-0.0
onwind,768,536,0.0,-0.0
onwind,772,540,0.0,-0.0
onwind,773,544,0.0,-0.0
onwind,815,559,0.0,-0.0
onwind,819,562,0.0,-0.0
onwind,824,569,0.0,-0.0
onwind,825,572,0.0,-0.0
onwind,850,580,0.0,-0.0
onwind,853,585,0.0,-0.0
onwind,855,587,0.0,-0.0
onwind,926,611,0.0,-0.0
onwind,957,614,0.0,-0.0
onwind,960,617,0.0,-0.0
onwind,1028,643,0.0,-0.0
onwind,1029,647,0.0,-0.0
onwind,1074,670,0.0,-0.0
onwind,1078,677,0.0,-0.0
onwind,1126,699,0.0,-0.0
onwind,1183,710,0.0,-0.0
onwind,1202,714,0.0,-0.0
onwind,1204,716,0.0,-0.0
onwind,1206,718,0.0,-0.0
onwind,1216,721,0.0,-0.0
onwind,1223,725,0.0,-0.0
onwind,1226,729,0.0,-0.0
onwind,1238,734,0.0,-0.0
onwind,1243,736,0.0,-0.0
onwind,1352,755,0.0,-0.0
onwind,1379,762,0.0,-0.0
onwind,1406,769,0.0,-0.0
onwind,1407,772,0.0,-0.0
onwind,1442,775,0.0,-0.0
onwind,1460,777,0.0,-0.0
onwind,1479,781,0.0,-0.0
onwind,1542,784,0.0,-0.0
onwind,1543,787,0.0,-0.0
onwind,1545,793,0.0,-0.0
onwind,1547,796,0.0,-0.0
onwind,1552,800,0.0,-0.0
onwind,1614,810,0.0,-0.0
onwind,1622,814,0.0,-0.0
onwind,1679,837,0.0,-0.0
onwind,1704,842,0.0,-0.0
onwind,1705,845,0.0,-0.0
onwind,1707,848,0.0,-0.0
onwind,1708,851,0.0,-0.0
onwind,1711,856,0.0,-0.0
onwind,1713,860,0.0,-0.0
onwind,1716,863,0.0,-0.0
onwind,1720,866,0.0,-0.0
onwind,1725,872,0.0,-0.0
onwind,1733,878,0.0,-0.0
onwind,1766,886,0.0,-0.0
onwind,1793,899,0.0,-0.0
onwind,1794,902,0.0,-0.0
onwind,1832,907,0.0,-0.0
onwind,1869,922,0.0,-0.0
onwind,1872,927,0.0,-0.0
