state,category,modeled,reference,diff_TWh,diff_pct
Nordrhein-Westfalen,LOAD_total_TWh,117.1,140.0,-22.9,-16.4
Nordrhein-Westfalen,GEN_biogas_TWh,3.5,2.0,1.5,73.5
Nordrhein-Westfalen,GEN_biomass_TWh,3.3,1.5,1.8,121.2
Nordrhein-Westfalen,GEN_gas_TWh,31.0,27.0,4.0,15.0
Nordrhein-Westfalen,GEN_hard_coal_TWh,8.5,11.0,-2.5,-22.3
Nordrhein-Westfalen,GEN_lignite_TWh,29.2,25.0,4.2,16.8
Nordrhein-Westfalen,GEN_onwind_TWh,14.7,12.0,2.7,22.2
Nordrhein-Westfalen,GEN_other_TWh,1.9,0.0,1.9,999.0
Nordrhein-Westfalen,GEN_reservoir_TWh,0.3,0.0,0.3,999.0
Nordrhein-Westfalen,GEN_run_of_river_TWh,0.3,0.0,0.3,999.0
Nordrhein-Westfalen,GEN_solar_TWh,12.0,9.0,3.0,33.0
Bayern,LOAD_total_TWh,66.8,80.0,-13.2,-16.5
Bayern,GEN_biogas_TWh,7.7,7.0,0.7,9.7
Bayern,GEN_biomass_TWh,2.0,1.5,0.5,35.2
Bayern,GEN_gas_TWh,15.5,5.0,10.5,209.8
Bayern,GEN_hard_coal_TWh,1.0,0.0,1.0,999.0
Bayern,GEN_onwind_TWh,3.8,4.0,-0.2,-5.9
Bayern,GEN_reservoir_TWh,4.3,5.0,-0.7,-13.4
Bayern,GEN_run_of_river_TWh,6.9,7.5,-0.6,-8.1
Bayern,GEN_solar_TWh,29.1,21.0,8.1,38.6
Baden-Württemberg,LOAD_total_TWh,56.6,75.0,-18.4,-24.6
Baden-Württemberg,GEN_biogas_TWh,3.2,3.0,0.2,6.7
Baden-Württemberg,GEN_biomass_TWh,1.5,0.0,1.5,999.0
Baden-Württemberg,GEN_gas_TWh,5.5,6.0,-0.5,-8.0
Baden-Württemberg,GEN_hard_coal_TWh,8.2,4.0,4.2,105.6
Baden-Württemberg,GEN_onwind_TWh,2.9,2.0,0.9,44.7
Baden-Württemberg,GEN_reservoir_TWh,0.2,1.5,-1.3,-83.6
Baden-Württemberg,GEN_run_of_river_TWh,2.7,4.0,-1.3,-33.3
Baden-Württemberg,GEN_solar_TWh,13.8,9.0,4.8,53.0
Niedersachsen,LOAD_total_TWh,44.0,65.0,-21.0,-32.3
Niedersachsen,GEN_biogas_TWh,7.8,5.5,2.3,41.2
Niedersachsen,GEN_biomass_TWh,1.4,1.0,0.4,40.4
Niedersachsen,GEN_gas_TWh,12.4,4.5,7.9,174.8
Niedersachsen,GEN_hard_coal_TWh,1.9,2.0,-0.1,-5.5
Niedersachsen,GEN_offwind_TWh,0.0,11.0,-11.0,-100.0
Niedersachsen,GEN_onwind_TWh,22.5,22.0,0.5,2.5
Niedersachsen,GEN_run_of_river_TWh,0.2,0.0,0.2,999.0
Niedersachsen,GEN_solar_TWh,8.4,8.0,0.4,4.9
Hessen,LOAD_total_TWh,31.1,45.0,-13.9,-30.9
Hessen,GEN_biogas_TWh,0.9,1.0,-0.1,-10.0
Hessen,GEN_biomass_TWh,1.4,0.5,0.9,87.2
Hessen,GEN_gas_TWh,5.4,4.0,1.4,33.8
Hessen,GEN_hard_coal_TWh,2.4,0.0,2.4,999.0
Hessen,GEN_lignite_TWh,0.3,0.0,0.3,999.0
Hessen,GEN_onwind_TWh,3.8,3.0,0.8,27.2
Hessen,GEN_reservoir_TWh,0.1,0.0,0.1,999.0
Hessen,GEN_run_of_river_TWh,0.2,0.0,0.2,999.0
Hessen,GEN_solar_TWh,4.7,4.0,0.7,17.0
Rheinland-Pfalz,LOAD_total_TWh,21.8,30.0,-8.2,-27.3
Rheinland-Pfalz,GEN_biogas_TWh,0.6,0.7,-0.1,-15.0
Rheinland-Pfalz,GEN_biomass_TWh,0.3,0.0,0.3,999.0
Rheinland-Pfalz,GEN_gas_TWh,4.1,3.5,0.6,18.1
Rheinland-Pfalz,GEN_onwind_TWh,6.5,6.0,0.5,7.6
Rheinland-Pfalz,GEN_run_of_river_TWh,0.5,0.0,0.5,999.0
Rheinland-Pfalz,GEN_solar_TWh,5.2,4.0,1.2,30.2
Sachsen,LOAD_total_TWh,21.3,22.0,-0.7,-3.1
Sachsen,GEN_biogas_TWh,1.0,0.0,1.0,999.0
Sachsen,GEN_biomass_TWh,0.5,0.0,0.5,999.0
Sachsen,GEN_gas_TWh,3.2,0.5,2.7,272.4
Sachsen,GEN_lignite_TWh,21.0,12.0,9.0,74.8
Sachsen,GEN_onwind_TWh,2.1,3.0,-0.9,-31.2
Sachsen,GEN_run_of_river_TWh,0.2,0.0,0.2,999.0
Sachsen,GEN_solar_TWh,4.4,3.5,0.9,24.9
Sachsen-Anhalt,LOAD_total_TWh,11.8,18.0,-6.2,-34.7
Sachsen-Anhalt,GEN_biogas_TWh,1.4,1.4,0.0,1.9
Sachsen-Anhalt,GEN_biomass_TWh,1.6,0.8,0.8,77.0
Sachsen-Anhalt,GEN_gas_TWh,3.3,0.0,3.3,999.0
Sachsen-Anhalt,GEN_lignite_TWh,4.7,13.0,-8.3,-63.6
Sachsen-Anhalt,GEN_onwind_TWh,8.3,11.0,-2.7,-24.8
Sachsen-Anhalt,GEN_solar_TWh,4.8,5.0,-0.2,-4.3
Brandenburg,LOAD_total_TWh,15.5,18.0,-2.5,-14.0
Brandenburg,GEN_biogas_TWh,1.8,1.4,0.4,29.8
Brandenburg,GEN_biomass_TWh,1.4,0.0,1.4,999.0
Brandenburg,GEN_gas_TWh,3.3,1.0,2.3,230.0
Brandenburg,GEN_lignite_TWh,17.3,17.0,0.3,1.8
Brandenburg,GEN_onwind_TWh,13.8,14.0,-0.2,-1.5
Brandenburg,GEN_solar_TWh,7.2,7.0,0.2,2.4
Schleswig-Holstein,LOAD_total_TWh,20.4,17.0,3.4,20.2
Schleswig-Holstein,GEN_biogas_TWh,2.8,2.0,0.8,39.4
Schleswig-Holstein,GEN_biomass_TWh,0.4,0.0,0.4,999.0
Schleswig-Holstein,GEN_gas_TWh,1.6,1.0,0.6,56.5
Schleswig-Holstein,GEN_hard_coal_TWh,0.5,0.0,0.5,999.0
Schleswig-Holstein,GEN_offwind_TWh,0.0,14.0,-14.0,-100.0
Schleswig-Holstein,GEN_onwind_TWh,16.3,21.0,-4.7,-22.3
Schleswig-Holstein,GEN_other_TWh,1.6,0.0,1.6,999.0
Schleswig-Holstein,GEN_solar_TWh,3.5,2.5,1.0,38.4
Thüringen,LOAD_total_TWh,10.7,13.0,-2.3,-17.8
Thüringen,GEN_biogas_TWh,0.8,0.6,0.2,19.6
Thüringen,GEN_biomass_TWh,0.6,0.0,0.6,999.0
Thüringen,GEN_gas_TWh,1.5,0.0,1.5,999.0
Thüringen,GEN_onwind_TWh,2.8,2.5,0.3,11.2
Thüringen,GEN_reservoir_TWh,0.4,0.0,0.4,999.0
Thüringen,GEN_solar_TWh,2.6,2.5,0.1,5.3
Berlin,LOAD_total_TWh,17.8,13.0,4.8,37.0
Berlin,GEN_biomass_TWh,0.1,0.0,0.1,999.0
Berlin,GEN_gas_TWh,3.3,2.0,1.3,65.6
Berlin,GEN_hard_coal_TWh,1.2,1.0,0.2,23.7
Berlin,GEN_solar_TWh,0.4,0.2,0.2,18.5
Hamburg,LOAD_total_TWh,9.3,14.0,-4.7,-33.9
Hamburg,GEN_biogas_TWh,0.1,0.0,0.1,999.0
Hamburg,GEN_biomass_TWh,0.1,0.0,0.1,999.0
Hamburg,GEN_gas_TWh,0.4,0.8,-0.4,-38.9
Hamburg,GEN_hard_coal_TWh,0.5,4.0,-3.5,-88.7
Hamburg,GEN_onwind_TWh,0.2,0.0,0.2,999.0
Hamburg,GEN_solar_TWh,0.2,0.0,0.2,999.0
Mecklenburg-Vorpommern,LOAD_total_TWh,8.0,8.0,0.0,0.5
Mecklenburg-Vorpommern,GEN_biogas_TWh,1.6,1.4,0.2,16.9
