old_bus,new_bus,reason,new_id,voltage
1,35631,substation_simplification,35631,
25485,35631,substation_simplification,35631,
8,5,substation_simplification,5,
314,313,substation_simplification,313,
10,9,substation_simplification,9,
11,9,substation_simplification,9,
18,302,substation_simplification,302,
13,302,substation_simplification,302,
13050,302,substation_simplification,302,
303,35149,substation_simplification,35149,
14,35149,substation_simplification,35149,
12423,35149,substation_simplification,35149,
15,34744,substation_simplification,34744,
12912,34744,substation_simplification,34744,
17,34744,substation_simplification,34744,
1781,34744,substation_simplification,34744,
2509,22,substation_simplification,22,
36324,35,substation_simplification,35,
8942,35182,substation_simplification,35182,
26704,35182,substation_simplification,35182,
816,35182,substation_simplification,35182,
53,35182,substation_simplification,35182,
35777,55,substation_simplification,55,
38426,58,substation_simplification,58,
12719,39214,substation_simplification,39214,
272,39214,substation_simplification,39214,
5362,39214,substation_simplification,39214,
18131,39214,substation_simplification,39214,
12885,39214,substation_simplification,39214,
59,39214,substation_simplification,39214,
1245,39214,substation_simplification,39214,
38604,62,substation_simplification,62,
38605,63,substation_simplification,63,
38607,67,substation_simplification,67,
1153,39223,substation_simplification,39223,
14242,39223,substation_simplification,39223,
70,39223,substation_simplification,39223,
13035,39223,substation_simplification,39223,
12375,39223,substation_simplification,39223,
35355,71,substation_simplification,71,
16705,35360,substation_simplification,35360,
39332,35360,substation_simplification,35360,
73,35360,substation_simplification,35360,
23984,85,substation_simplification,85,
11874,35125,substation_simplification,35125,
1014,35125,substation_simplification,35125,
1015,35125,substation_simplification,35125,
87,35125,substation_simplification,35125,
89,35125,substation_simplification,35125,
91,35125,substation_simplification,35125,
287,35125,substation_simplification,35125,
35325,98,substation_simplification,98,
108,104,substation_simplification,104,
1095,104,substation_simplification,104,
386,37835,substation_simplification,37835,
106,37835,substation_simplification,37835,
14845,37835,substation_simplification,37835,
351,37835,substation_simplification,37835,
35689,109,substation_simplification,109,
129,115,substation_simplification,115,
38906,38907,substation_simplification,38907,
116,38907,substation_simplification,38907,
16455,38907,substation_simplification,38907,
118,117,substation_simplification,117,
121,120,substation_simplification,120,
453,452,substation_simplification,452,
22474,122,substation_simplification,122,
124,122,substation_simplification,122,
19607,123,substation_simplification,123,
19587,34980,substation_simplification,34980,
16997,34980,substation_simplification,34980,
5393,34980,substation_simplification,34980,
14291,34980,substation_simplification,34980,
125,34980,substation_simplification,34980,
132,127,substation_simplification,127,
131,130,substation_simplification,130,
30785,138,substation_simplification,138,
1280,139,substation_simplification,139,
140,139,substation_simplification,139,
1432,142,substation_simplification,142,
145,142,substation_simplification,142,
39232,142,substation_simplification,142,
144,39166,substation_simplification,39166,
19548,39166,substation_simplification,39166,
39230,39166,substation_simplification,39166,
39004,146,substation_simplification,146,
1674,146,substation_simplification,146,
1763,35672,substation_simplification,35672,
150,35672,substation_simplification,35672,
8613,37760,substation_simplification,37760,
8614,37760,substation_simplification,37760,
8359,37760,substation_simplification,37760,
8361,37760,substation_simplification,37760,
152,37760,substation_simplification,37760,
153,37760,substation_simplification,37760,
20730,37760,substation_simplification,37760,
9242,154,substation_simplification,154,
155,154,substation_simplification,154,
37666,154,substation_simplification,154,
22241,157,substation_simplification,157,
39336,157,substation_simplification,157,
38638,157,substation_simplification,157,
22576,157,substation_simplification,157,
10481,157,substation_simplification,157,
10482,157,substation_simplification,157,
39516,157,substation_simplification,157,
39517,157,substation_simplification,157,
158,157,substation_simplification,157,
159,157,substation_simplification,157,
161,160,substation_simplification,160,
940,160,substation_simplification,160,
164,163,substation_simplification,163,
8484,165,substation_simplification,165,
34837,165,substation_simplification,165,
489,35167,substation_simplification,35167,
170,35167,substation_simplification,35167,
4422,34884,substation_simplification,34884,
4102,34884,substation_simplification,34884,
174,34884,substation_simplification,34884,
9012,34884,substation_simplification,34884,
37977,176,substation_simplification,176,
38743,176,substation_simplification,176,
36047,180,substation_simplification,180,
15227,189,substation_simplification,189,
35142,189,substation_simplification,189,
193,192,substation_simplification,192,
11234,195,substation_simplification,195,
196,195,substation_simplification,195,
12320,35294,substation_simplification,35294,
546,35294,substation_simplification,35294,
198,35294,substation_simplification,35294,
39018,35294,substation_simplification,35294,
38431,35294,substation_simplification,35294,
36005,199,substation_simplification,199,
204,35221,substation_simplification,35221,
9774,35221,substation_simplification,35221,
7767,35221,substation_simplification,35221,
10043,35221,substation_simplification,35221,
209,35741,substation_simplification,35741,
899,35741,substation_simplification,35741,
20105,215,substation_simplification,215,
38067,215,substation_simplification,215,
36008,217,substation_simplification,217,
39213,35228,substation_simplification,35228,
39215,35228,substation_simplification,35228,
625,35228,substation_simplification,35228,
626,35228,substation_simplification,35228,
1465,35228,substation_simplification,35228,
220,35228,substation_simplification,35228,
11009,36192,substation_simplification,36192,
9922,36192,substation_simplification,36192,
35780,36192,substation_simplification,36192,
14852,36192,substation_simplification,36192,
37960,36192,substation_simplification,36192,
9677,36192,substation_simplification,36192,
10452,36192,substation_simplification,36192,
221,36192,substation_simplification,36192,
1715,226,substation_simplification,226,
35261,226,substation_simplification,226,
36171,231,substation_simplification,231,
38416,232,substation_simplification,232,
13900,238,substation_simplification,238,
35903,238,substation_simplification,238,
241,240,substation_simplification,240,
35996,244,substation_simplification,244,
35601,248,substation_simplification,248,
39026,253,substation_simplification,253,
325,255,substation_simplification,255,
35330,258,substation_simplification,258,
264,263,substation_simplification,263,
39540,263,substation_simplification,263,
15970,35572,substation_simplification,35572,
23973,35572,substation_simplification,35572,
265,35572,substation_simplification,35572,
23602,35572,substation_simplification,35572,
31001,35572,substation_simplification,35572,
29823,35572,substation_simplification,35572,
280,34823,substation_simplification,34823,
12784,34823,substation_simplification,34823,
35717,282,substation_simplification,282,
38162,289,substation_simplification,289,
35314,298,substation_simplification,298,
13047,298,substation_simplification,298,
39281,35311,substation_simplification,35311,
299,35311,substation_simplification,35311,
1668,35311,substation_simplification,35311,
36244,315,substation_simplification,315,
34797,335,substation_simplification,335,
39221,335,substation_simplification,335,
337,339,substation_simplification,339,
36577,339,substation_simplification,339,
35632,346,substation_simplification,346,
345,346,substation_simplification,346,
349,346,substation_simplification,346,
350,346,substation_simplification,346,
35490,355,substation_simplification,355,
14240,39226,substation_simplification,39226,
13829,39226,substation_simplification,39226,
15944,39226,substation_simplification,39226,
360,39226,substation_simplification,39226,
12586,39226,substation_simplification,39226,
16398,39226,substation_simplification,39226,
16120,39226,substation_simplification,39226,
361,35495,substation_simplification,35495,
930,35495,substation_simplification,35495,
19678,35495,substation_simplification,35495,
36408,364,substation_simplification,364,
10283,369,substation_simplification,369,
35403,369,substation_simplification,369,
38761,376,substation_simplification,376,
16368,35301,substation_simplification,35301,
377,35301,substation_simplification,35301,
16002,35301,substation_simplification,35301,
381,380,substation_simplification,380,
39997,380,substation_simplification,380,
383,382,substation_simplification,382,
514,384,substation_simplification,384,
38836,384,substation_simplification,384,
8041,35263,substation_simplification,35263,
8590,35263,substation_simplification,35263,
400,35263,substation_simplification,35263,
401,35263,substation_simplification,35263,
1529,408,substation_simplification,408,
38184,408,substation_simplification,408,
35834,415,substation_simplification,415,
28262,415,substation_simplification,415,
420,35169,substation_simplification,35169,
7180,35169,substation_simplification,35169,
35529,428,substation_simplification,428,
39496,441,substation_simplification,441,
38689,441,substation_simplification,441,
19076,39290,substation_simplification,39290,
21064,39290,substation_simplification,39290,
27052,39290,substation_simplification,39290,
9903,39290,substation_simplification,39290,
37681,39290,substation_simplification,39290,
21490,39290,substation_simplification,39290,
21270,39290,substation_simplification,39290,
446,39290,substation_simplification,39290,
451,35517,substation_simplification,35517,
19686,35517,substation_simplification,35517,
454,35517,substation_simplification,35517,
455,35517,substation_simplification,35517,
1050,35517,substation_simplification,35517,
15937,15935,substation_simplification,15935,
34755,15935,substation_simplification,15935,
457,15935,substation_simplification,15935,
458,15935,substation_simplification,15935,
39312,15935,substation_simplification,15935,
757,15935,substation_simplification,15935,
16217,15935,substation_simplification,15935,
15933,15935,substation_simplification,15935,
15934,15935,substation_simplification,15935,
39033,468,substation_simplification,468,
39031,470,substation_simplification,470,
39032,471,substation_simplification,471,
482,39268,substation_simplification,39268,
12387,39268,substation_simplification,39268,
34920,39268,substation_simplification,39268,
27116,39268,substation_simplification,39268,
477,39268,substation_simplification,39268,
480,35762,substation_simplification,35762,
12219,35762,substation_simplification,35762,
1276,35762,substation_simplification,35762,
39654,492,substation_simplification,492,
36506,495,substation_simplification,495,
513,8105,substation_simplification,8105,
8101,8105,substation_simplification,8105,
519,8105,substation_simplification,8105,
8264,8105,substation_simplification,8105,
8265,8105,substation_simplification,8105,
520,8105,substation_simplification,8105,
515,38467,substation_simplification,38467,
13817,38467,substation_simplification,38467,
15164,38467,substation_simplification,38467,
36499,535,substation_simplification,535,
36058,538,substation_simplification,538,
36002,545,substation_simplification,545,
36004,551,substation_simplification,551,
39976,564,substation_simplification,564,
565,564,substation_simplification,564,
39975,564,substation_simplification,564,
34796,699,substation_simplification,699,
566,699,substation_simplification,699,
39211,39283,substation_simplification,39283,
39558,39283,substation_simplification,39283,
569,39283,substation_simplification,39283,
571,1328,substation_simplification,1328,
