line_id,bus0,bus1,v_nom,parallel_count
1102,2462,2465,220,1
11210,160,161,380,3
12714,2369,2366,220,3
23527,38967,38966,380,1
18044,14645,14646,380,2
33050,12933,37833,220,1
33082,39207,38573,380,1
3548,612,610,220,1
1673,3040,3039,220,1
11371,349,350,220,2
1810,349,350,220,2
33017,1847,34929,220,1
33018,38880,37864,380,1
32957,35937,34788,220,1
32958,19951,37864,380,1
32951,17895,38869,380,1
20620,11193,11196,220,2
724,2157,2161,220,2
725,2157,2156,220,2
723,2163,2164,220,2
30791,40361,40362,380,1
2127,34800,3411,380,2
2422,3829,3828,220,2
3315,152,153,380,5
11171,152,153,380,5
32913,36531,37401,220,1
12177,1779,1780,380,2
6405,39430,10745,220,2
14397,39251,5632,220,2
5339,8514,8515,220,2
11138,108,107,220,2
12780,2447,2448,220,2
13038,3661,2832,220,2
17538,11773,13717,380,2
31977,11196,38822,220,1
30318,39997,380,220,1
820,2264,2265,220,2
12918,2616,2265,220,2
13605,3661,2832,220,2
31786,3473,3667,220,1
1500,2897,2898,220,2
13104,2897,2898,220,2
13103,2898,3473,220,1
14368,5701,5594,220,4
15393,8148,13822,220,1
14445,5701,5594,220,4
12234,1850,1851,220,3
20663,13650,13651,380,3
20776,19693,34871,220,2
22320,12185,37282,380,3
22545,159,10482,380,1
13047,5155,2839,220,2
32908,38640,39101,220,1
3902,34743,1328,220,2
17467,39420,13481,220,2
6401,10701,10707,220,3
23510,36898,22885,220,3
3745,967,35168,220,3
16872,39245,11865,220,2
6306,10444,35896,220,4
3908,1356,1357,220,3
11982,1356,1357,220,3
11983,1356,1357,220,3
31735,34880,37978,220,1
4064,1749,35366,220,2
23720,3922,3923,220,2
32082,13612,12929,220,1
13643,3817,3818,220,2
18501,16212,38518,220,3
5854,36317,10545,220,2
3716,916,34754,220,2
6873,39254,11835,380,4
21630,15320,15309,380,2
49,39430,35617,220,3
20070,39335,34927,380,3
17230,38640,12552,220,2
7789,38640,14166,220,2
22461,38640,14166,220,2
3635,757,39312,380,2
22052,38640,39368,220,2
22053,38640,39368,220,2
21626,15310,15308,380,2
2818,4898,39322,220,5
13999,4898,39322,220,5
13998,4898,39322,220,5
24159,4898,39322,220,5
23365,15317,39335,380,2
21625,15308,15309,380,2
15333,15097,8024,220,2
23777,39430,35617,220,3
3617,723,724,380,2
11884,1158,1159,220,2
3835,1158,1159,220,2
3836,1159,34923,220,2
11883,1159,34923,220,2
11038,34923,39274,220,3
10872,34923,39274,220,3
3838,39274,34923,220,3
16961,39274,12009,220,2
7111,39274,12009,220,2
7437,39274,12856,220,2
7030,11986,11987,220,2
7109,12009,12008,220,2
16948,11988,11989,220,3
16960,12009,12008,220,2
16959,12008,35464,220,1
18125,15200,15201,220,3
23757,15200,15201,220,3
7993,15200,15201,220,3
25425,38579,23312,220,2
25049,23312,38579,220,2
30676,40270,40271,220,1
18209,15201,15202,220,1
18194,15097,8024,220,2
16943,11986,11987,220,2
7088,11988,11987,220,1
7031,11988,11989,220,3
16945,11988,11989,220,3
16942,11987,35306,220,1
6857,11989,35306,220,3
7110,35306,37121,220,2
17227,12542,11988,220,2
7329,12550,12549,220,2
31765,36391,35224,220,1
48,2753,2754,220,3
21846,2753,2754,220,3
3547,596,612,220,2
11527,596,612,220,2
3554,596,35503,220,2
12993,2752,2753,220,2
18176,15067,15068,220,2
31894,7875,7874,220,1
3484,452,453,380,2
21862,12872,35073,380,2
11230,189,35142,380,4
23529,611,609,220,1
15238,7874,35643,220,1
15241,7875,35643,220,1
3552,608,607,220,2
11523,608,607,220,2
11524,609,608,220,2
29948,39739,39740,220,1
11538,627,610,220,1
11526,612,627,220,1
11515,596,35503,220,2
11539,627,628,220,2
9948,18213,18217,380,2
12998,2751,2752,220,1
3556,607,602,220,2
3553,609,608,220,2
43,2752,2753,220,2
25423,37467,39287,220,2
7950,15065,37467,220,2
18174,15065,37467,220,2
31816,39346,4606,220,1
2713,4606,36531,220,2
1279,569,39283,220,2
11501,569,39283,220,2
29689,39558,39283,220,1
22848,39211,39283,220,1
11522,607,602,220,2
3570,628,633,220,2
11545,628,633,220,2
3569,633,629,220,2
11544,633,629,220,2
30825,40386,40387,220,1
19943,35172,21020,220,2
16699,11021,35766,220,2
2841,4980,4979,380,2
31702,39435,35183,220,1
30823,39204,40387,220,1
13621,3742,3743,220,2
10931,35172,21020,220,2
16613,38899,10743,220,1
24470,39181,22313,380,2
4661,39273,7169,220,2
14976,39273,7169,220,2
13925,4606,36531,220,2
4781,39273,7878,220,2
31986,35766,38987,220,1
3579,35461,641,380,2
6410,10742,10743,220,1
24960,36023,36452,380,4
23847,36023,36452,380,4
6504,11021,35766,220,2
10163,18859,18857,220,2
16700,11021,38922,220,3
21510,11021,38922,220,3
3590,37934,664,380,4
9947,18215,39473,380,2
5784,10739,10740,220,2
6411,10742,10740,220,2
13620,3743,3261,220,1
4189,5633,5635,220,1
4190,5636,5632,220,2
29693,39204,39561,220,1
23816,36531,22748,220,2
18211,35781,39458,220,1
23418,22748,37983,220,1
14639,38671,6104,220,2
14399,6104,5635,220,1
14638,6104,5633,220,1
11516,598,599,220,2
3559,598,599,220,2
3973,1556,1561,220,2
11519,602,603,220,2
16607,10741,21175,220,1
10958,21176,21177,220,1
11599,39220,697,220,2
3606,697,39220,220,2
3558,606,605,220,2
19417,39204,19486,220,2
2816,35454,4897,220,2
29694,39561,39545,220,1
4355,6099,38671,220,2
3555,39240,600,220,2
11517,39240,600,220,2
4357,39240,6099,220,2
14634,39240,6099,220,2
11518,600,39239,220,2
3607,34796,699,220,2
29672,39545,38872,220,1
25222,39239,606,220,1
11521,606,605,220,2
19416,39204,19486,220,2
6503,129,130,380,4
6197,10152,10151,380,3
11267,217,36008,220,2
2493,3982,39458,220,2
13694,39458,3982,220,2
30290,39976,565,220,1
11500,568,564,220,2
11497,564,565,220,1
30289,564,39976,220,1
13692,3979,3981,220,2
2489,3979,3981,220,2
4777,39430,7876,220,2
13691,35224,3978,220,2
11601,699,34796,220,2
22063,5849,36932,220,2
3510,565,566,220,2
32922,37985,22748,220,1
9533,39258,35825,380,1
3567,621,631,220,2
11273,39213,220,220,2
1254,39213,220,220,2
765,39213,35228,220,3
13230,3037,3038,220,2
23875,39213,35228,220,3
8157,15751,15753,380,1
3565,620,621,220,2
11535,620,621,220,2
3566,630,620,220,2
32105,14059,14055,220,1
7479,39258,12948,380,2
23853,22928,36813,220,2
4267,5849,36932,220,2
14396,5616,5614,220,2
14089,5210,5211,220,4
1367,5211,36932,220,6
22061,5211,36932,220,6
6729,38664,36905,220,2
23979,15614,15615,220,3
17486,38664,36905,220,2
8350,14105,14115,220,2
23795,14105,14115,220,2
8212,36813,13825,220,2
31739,35228,39283,220,1
14088,5210,5211,220,4
17349,34940,12856,220,2
7436,34940,12856,220,2
23850,35228,1465,220,2
11536,39213,625,220,2
15242,39430,7876,220,2
16615,39430,10745,220,2
8356,14114,14113,220,2
30187,39904,2752,220,1
4193,39251,5632,220,2
1362,5215,5216,220,2
14097,5215,5216,220,2
30090,5215,39838,220,1
30091,39838,5216,220,1
30092,39837,39838,220,1
1339,5215,5210,220,3
14093,5215,5210,220,3
6279,10369,10371,220,3
14094,5215,5210,220,3
23034,22928,36813,220,2
4186,5616,36932,220,1
9946,18213,39184,380,2
17732,14114,14113,220,2
17730,14113,15866,220,2
25384,14113,15866,220,2
23768,14104,14105,220,2
8354,14104,14105,220,2
14788,6413,6414,220,2
20473,35050,6413,220,3
25406,35050,1844,220,3
31828,35050,1849,220,1
470,1844,1849,220,2
12231,1844,1849,220,2
8180,15866,15855,220,2
21644,15866,15855,220,2
17728,15855,14111,220,1
23794,14111,14104,220,2
8353,14111,14104,220,2
8347,14112,14111,220,2
17729,14112,14111,220,2
6276,10371,10372,220,1
8348,14112,14116,220,2
32369,10372,15855,220,1
17798,10371,14219,220,2
16440,10371,14219,220,2
16441,10369,10371,220,3
17735,14116,36664,220,3
25113,14116,36664,220,3
16439,10369,36664,220,3
6278,10369,36664,220,3
8355,14116,36664,220,3
8727,14974,36664,220,2
24793,14974,36664,220,2
16438,36664,10369,220,3
8712,36664,14931,220,2
12512,2166,2165,220,2
736,2166,2165,220,2
8713,14931,14932,220,2
18149,14931,14932,220,2
5099,8024,37863,220,2
8405,14219,36855,220,2
17797,36855,14219,220,2
739,2164,2165,220,2
12511,2164,2165,220,2
11647,733,37836,380,3
25071,23120,22773,220,1
5341,36673,8518,220,2
15586,8518,8517,220,2
5340,8518,8517,220,2
13235,3042,3041,220,2
11367,35947,348,220,2
2033,3306,3307,220,2
1807,35947,348,220,2
4370,6122,6116,220,2
14656,6122,6116,220,2
735,2164,34779,220,1
2705,4585,4586,220,2
13916,4585,4586,220,2
13919,4590,4585,220,2
2704,4590,4585,220,2
2350,3657,3653,220,2
13604,3657,3653,220,2
2349,3653,3654,220,2
2708,4586,4587,220,3
13917,4586,4587,220,3
22278,22842,20985,220,1
4775,8023,8024,220,2
15332,8023,8024,220,2
3284,129,130,380,4
4247,5795,5794,220,2
19240,18486,18487,380,2
17731,14113,14109,220,2
8357,14113,14109,220,2
23792,13499,39417,380,2
13356,3267,3268,220,2
1904,3268,3269,220,2
13357,3268,3269,220,2
4249,37776,5793,220,2
15611,7778,8611,220,1
14493,5793,37776,220,2
4246,5793,5794,220,2
14494,5793,5794,220,2
14100,5220,5221,220,3
12669,2337,2338,220,2
13920,35628,4590,220,2
2701,35628,4590,220,2
14495,5795,5794,220,2
13350,3259,3260,220,2
1837,3259,3260,220,2
18341,16217,15935,380,2
18337,15934,15933,380,2
18298,14631,15707,380,2
18508,16225,16226,380,2
18506,16221,16217,380,2
443,1815,1816,380,2
12196,1804,1805,380,2
6569,11344,11351,380,2
19037,17885,1593,380,2
19085,17954,17970,380,2
19238,18485,18486,380,2
19239,18487,18482,380,2
19606,19786,19787,380,2
19608,19787,19788,380,2
19563,19685,19686,380,2
19605,19785,19786,380,2
19647,19916,19917,380,2
19646,19915,19916,380,3
19607,19788,19782,380,2
19973,21180,21181,380,2
19976,21181,21185,380,2
19952,21044,21043,380,2
20198,22395,22410,380,1
8247,13864,34792,380,3
12195,35654,1805,380,2
448,1805,35654,380,2
22660,7306,7315,380,3
6913,13574,13575,220,2
4686,7306,7315,380,3
15009,7306,7315,380,3
12210,35387,1813,380,4
12202,1813,35387,380,4
4248,5795,35066,220,2
14496,35066,5795,220,2
17668,35018,13998,220,3
8213,13998,35018,220,3
17672,13998,35018,220,3
13606,3661,3654,220,2
13211,3408,3024,380,2
4368,6118,35066,220,4
14648,6118,35066,220,4
11366,345,346,220,2
1808,345,346,220,2
4369,6116,6117,220,2
14647,6116,6117,220,2
31848,6117,6120,220,2
4367,6117,6120,220,2
4564,6781,6780,220,2
14915,6781,6780,220,2
14916,6782,6781,220,3
4562,6782,6781,220,3
20744,6782,6781,220,3
14918,6784,6783,220,2
10162,38513,18859,220,2
19329,18859,38513,220,2
11369,346,349,220,2
1811,346,349,220,2
13819,4242,4243,380,2
14657,6121,6122,220,2
4365,6121,6122,220,2
83,36543,2836,220,2
13046,36543,2836,220,2
4371,37348,6121,220,2
