trafo_id,bus0,bus1,s_nom,type,tap_ratio,phase_shift,num_parallel
30826,39122,39123,260,"",1,0,1
30827,37935,37936,780,"",1,0,1
30828,35781,35782,550,"",1,0,1
30829,35469,35470,560,"",1,0,1
30830,35470,35471,1040,"",1,0,1
30831,39286,39287,1040,"",1,0,1
30832,39320,39321,2860,"",1,0,1
30833,39259,39260,260,"",1,0,1
30834,35313,35314,260,"",1,0,1
30835,35927,35928,1820,"",1,0,1
30836,36082,36083,520,"",1,0,1
30837,36083,36084,520,"",1,0,1
30838,36349,36350,1040,"",1,0,1
30839,34900,34901,520,"",1,0,1
30840,35017,35018,520,"",1,0,1
30841,35018,35019,4680,"",1,0,1
30842,36530,36531,2080,"",1,0,1
30843,36531,36532,2600,"",1,0,1
30844,36334,36335,2340,"",1,0,1
30845,35046,35047,1820,"",1,0,1
30846,35047,35048,2080,"",1,0,1
30847,35100,35101,1560,"",1,0,1
30848,35101,35102,1560,"",1,0,1
30849,37338,37339,3120,"",1,0,1
30850,35305,35306,520,"",1,0,1
30851,35666,35667,2600,"",1,0,1
30852,35276,35277,3120,"",1,0,1
30853,35277,35278,6240,"",1,0,1
30854,35031,35032,1300,"",1,0,1
30855,37920,37921,1560,"",1,0,1
30856,34825,34826,1560,"",1,0,1
30857,39300,39301,780,"",1,0,1
30858,39301,39302,4160,"",1,0,1
30859,37540,37541,520,"",1,0,1
30860,37541,37542,520,"",1,0,1
30861,37834,37835,1920,"",1,0,1
30862,37835,37836,5200,"",1,0,1
30863,34893,34894,2080,"",1,0,1
30864,35416,35417,1300,"",1,0,1
30865,37352,37353,520,"",1,0,1
30866,37353,37354,520,"",1,0,1
30867,36474,36475,1040,"",1,0,1
30868,36165,36166,1560,"",1,0,1
30869,36166,36167,1560,"",1,0,1
30870,35114,35115,1560,"",1,0,1
30871,34939,34940,1040,"",1,0,1
30872,34941,34942,1820,"",1,0,1
30873,39457,39458,520,"",1,0,1
30874,34953,34954,520,"",1,0,1
30875,36567,36568,1040,"",1,0,1
30876,39250,39251,780,"",1,0,1
30877,36374,36375,1040,"",1,0,1
30878,35131,35132,1560,"",1,0,1
30879,36911,36912,1040,"",1,0,1
30880,34818,34819,1040,"",1,0,1
30881,38971,38972,1560,"",1,0,1
30882,38972,38973,2080,"",1,0,1
30883,35160,35161,1560,"",1,0,1
30884,39355,39356,520,"",1,0,1
30885,36036,36037,1040,"",1,0,1
